행정구역,남_총인구수,여_총인구수
서울특별시 도봉구 도봉제1동(1132052100),"10,502","10,355"
서울특별시 도봉구 도봉제2동(1132052200),"13,001","13,613"
서울특별시 도봉구 쌍문제1동(1132066000),"10,224","11,026"
서울특별시 도봉구 쌍문제2동(1132067000),"8,883","9,788"
서울특별시 도봉구 쌍문제3동(1132068000),"8,091","8,711"
서울특별시 도봉구 쌍문제4동(1132068100),"8,719","9,764"
서울특별시 도봉구 방학제1동(1132069000),"14,197","14,354"
서울특별시 도봉구 방학제2동(1132070000),"9,844","9,621"
서울특별시 도봉구 방학제3동(1132071000),"13,019","13,810"
서울특별시 강북구 삼양동(1130553400),"11,703","11,709"
서울특별시 강북구 미아동(1130553500),"10,245","11,102"
서울특별시 강북구 송중동(1130554500),"14,063","15,178"
서울특별시 강북구 송천동(1130555500),"12,889","13,122"
서울특별시 강북구 삼각산동(1130557500),"14,888","16,121"
서울특별시 강북구 번1동(1130559500),"9,260","9,134"
서울특별시 강북구 번2동(1130560300),"7,546","8,073"
서울특별시 강북구 번3동(1130560800),"7,790","8,860"
서울특별시 강북구 수유1동(1130561500),"10,089","10,401"
서울특별시 강북구 수유2동(1130562500),"10,083","11,085"
서울특별시 강북구 수유3동(1130563500),"11,455","11,601"
서울특별시 강북구 우이동(1130564500),"9,846","10,584"
서울특별시 강북구 인수동(1130566000),"14,538","15,577"
서울특별시 성북구 성북동(1129052500),"7,677","8,788"
서울특별시 성북구 삼선동(1129055500),"10,870","11,968"
서울특별시 성북구 동선동(1129057500),"6,471","8,943"
서울특별시 성북구 돈암제1동(1129058000),"6,789","7,733"
서울특별시 성북구 돈암제2동(1129059000),"11,224","12,473"
서울특별시 성북구 안암동(1129060000),"7,657","7,537"
서울특별시 성북구 보문동(1129061000),"7,612","8,200"
서울특별시 성북구 정릉제1동(1129062000),"8,680","9,397"
서울특별시 성북구 정릉제2동(1129063000),"11,062","11,825"
서울특별시 성북구 정릉제3동(1129064000),"7,626","7,649"
서울특별시 성북구 정릉제4동(1129065000),"11,896","12,813"
서울특별시 성북구 길음제1동(1129066000),"16,555","18,350"
서울특별시 성북구 길음제2동(1129068500),"10,140","10,897"
서울특별시 성북구 종암동(1129070500),"19,041","19,401"
서울특별시 성북구 월곡제1동(1129071500),"12,623","13,601"
서울특별시 성북구 월곡제2동(1129072500),"9,325","10,076"
서울특별시 성북구 장위제1동(1129076000),"11,807","12,324"
서울특별시 성북구 장위제2동(1129077000),"6,751","6,933"
서울특별시 성북구 장위제3동(1129078000),"7,710","8,019"
서울특별시 성북구 석관동(1129081000),"17,246","17,642"
서울특별시 중랑구 면목제2동(1126052000),"12,023","12,040"
서울특별시 중랑구 면목제4동(1126054000),"9,404","9,509"
서울특별시 중랑구 면목제5동(1126055000),"7,468","7,381"
서울특별시 중랑구 면목본동(1126056500),"16,546","16,865"
서울특별시 중랑구 면목제7동(1126057000),"10,876","10,804"
서울특별시 중랑구 면목제3.8동(1126057500),"12,167","12,366"
서울특별시 중랑구 상봉제1동(1126058000),"11,614","12,237"
서울특별시 중랑구 상봉제2동(1126059000),"9,770","10,463"
서울특별시 중랑구 중화제1동(1126060000),"9,556","9,897"
서울특별시 중랑구 중화제2동(1126061000),"12,748","12,073"
서울특별시 중랑구 묵제1동(1126062000),"16,529","17,838"
서울특별시 중랑구 묵제2동(1126063000),"9,132","9,468"
서울특별시 중랑구 망우본동(1126065500),"17,597","17,864"
서울특별시 중랑구 망우제3동(1126066000),"8,144","8,037"
서울특별시 중랑구 신내1동(1126068000),"18,542","19,768"
서울특별시 중랑구 신내2동(1126069000),"9,625","10,590"
서울특별시 동대문구 용신동(1123053600),"16,299","16,290"
서울특별시 동대문구 제기동(1123054500),"12,586","11,971"
서울특별시 동대문구 전농제1동(1123056000),"14,536","14,473"
서울특별시 동대문구 전농제2동(1123057000),"8,838","9,543"
서울특별시 동대문구 답십리제1동(1123060000),"13,887","14,987"
서울특별시 동대문구 답십리제2동(1123061000),"13,626","14,434"
서울특별시 동대문구 장안제1동(1123065000),"18,889","19,291"
서울특별시 동대문구 장안제2동(1123066000),"16,157","16,293"
서울특별시 동대문구 청량리동(1123070500),"9,338","9,386"
서울특별시 동대문구 회기동(1123071000),"5,074","5,521"
서울특별시 동대문구 휘경제1동(1123072000),"6,621","7,356"
서울특별시 동대문구 휘경제2동(1123073000),"12,081","12,071"
서울특별시 동대문구 이문제1동(1123074000),"9,028","9,109"
서울특별시 동대문구 이문제2동(1123075000),"9,594","10,291"
서울특별시 성동구 왕십리제2동(1120052000),"7,917","8,459"
서울특별시 성동구 왕십리도선동(1120053500),"12,566","13,958"
서울특별시 성동구 마장동(1120054000),"10,986","11,312"
서울특별시 성동구 사근동(1120055000),"6,262","5,816"
서울특별시 성동구 행당제1동(1120056000),"6,690","7,239"
서울특별시 성동구 행당제2동(1120057000),"10,838","12,308"
서울특별시 성동구 응봉동(1120058000),"7,263","7,993"
서울특별시 성동구 금호1가동(1120059000),"7,193","7,914"
서울특별시 성동구 금호2.3가동(1120061500),"10,720","11,830"
서울특별시 성동구 금호4가동(1120062000),"6,768","7,503"
서울특별시 성동구 옥수동(1120064500),"12,037","13,829"
서울특별시 성동구 성수1가제1동(1120065000),"8,189","8,238"
서울특별시 성동구 성수1가제2동(1120066000),"6,100","6,327"
서울특별시 성동구 성수2가제1동(1120067000),"8,172","7,467"
서울특별시 성동구 성수2가제3동(1120069000),"5,375","5,320"
서울특별시 성동구 송정동(1120072000),"5,504","4,941"
서울특별시 성동구 용답동(1120079000),"6,001","5,538"
서울특별시 용산구 후암동(1117051000),"8,142","8,554"
서울특별시 용산구 용산2가동(1117052000),"4,534","4,856"
서울특별시 용산구 남영동(1117053000),"4,462","2,885"
서울특별시 용산구 청파동(1117055500),"9,014","10,367"
서울특별시 용산구 원효로제1동(1117056000),"7,563","8,433"
서울특별시 용산구 원효로제2동(1117057000),"6,456","7,268"
서울특별시 용산구 효창동(1117058000),"4,941","5,449"
서울특별시 용산구 용문동(1117059000),"5,649","6,148"
서울특별시 용산구 한강로동(1117062500),"10,249","11,308"
서울특별시 용산구 이촌제1동(1117063000),"12,055","13,686"
서울특별시 용산구 이촌제2동(1117064000),"3,841","4,360"
서울특별시 용산구 이태원제1동(1117065000),"3,060","3,235"
서울특별시 용산구 이태원제2동(1117066000),"4,088","4,817"
서울특별시 용산구 한남동(1117068500),"9,794","10,524"
서울특별시 용산구 서빙고동(1117069000),"6,202","6,776"
서울특별시 용산구 보광동(1117070000),"6,595","6,698"
서울특별시 중구 소공동(1114052000),"1,083","1,180"
서울특별시 중구 회현동(1114054000),"2,452","2,285"
서울특별시 중구 명동(1114055000),"1,253","1,615"
서울특별시 중구 필동(1114057000),"2,067","1,952"
서울특별시 중구 장충동(1114058000),"2,387","2,209"
서울특별시 중구 광희동(1114059000),"2,655","2,593"
서울특별시 중구 을지로동(1114060500),"1,059",678
서울특별시 중구 신당동(1114061500),"3,796","3,906"
서울특별시 중구 다산동(1114062500),"6,671","7,073"
서울특별시 중구 약수동(1114063500),"7,681","8,914"
서울특별시 중구 청구동(1114064500),"6,414","7,071"
서울특별시 중구 신당제5동(1114065000),"5,013","5,275"
서울특별시 중구 동화동(1114066500),"4,907","5,292"
서울특별시 중구 황학동(1114067000),"6,010","6,628"
서울특별시 중구 중림동(1114068000),"5,969","5,999"
서울특별시 종로구 청운효자동(1111051500),"5,461","6,392"
서울특별시 종로구 사직동(1111053000),"4,161","5,173"
서울특별시 종로구 삼청동(1111054000),"1,151","1,261"
서울특별시 종로구 부암동(1111055000),"4,514","4,962"
서울특별시 종로구 평창동(1111056000),"8,410","9,653"
서울특별시 종로구 무악동(1111057000),"3,786","4,378"
서울특별시 종로구 교남동(1111058000),"4,580","5,398"
서울특별시 종로구 가회동(1111060000),"1,857","2,181"
서울특별시 종로구 종로1.2.3.4가동(1111061500),"4,268","2,957"
서울특별시 종로구 종로5.6가동(1111063000),"2,702","2,393"
서울특별시 종로구 이화동(1111064000),"3,434","3,780"
서울특별시 종로구 혜화동(1111065000),"7,859","8,490"
서울특별시 종로구 창신제1동(1111067000),"2,630","2,269"
서울특별시 종로구 창신제2동(1111068000),"4,048","3,812"
서울특별시 종로구 창신제3동(1111069000),"3,210","3,293"
서울특별시 종로구 숭인제1동(1111070000),"2,820","3,042"
서울특별시 종로구 숭인제2동(1111071000),"4,831","4,849"
서울특별시 광진구 화양동(1121571000),"11,310","12,411"
서울특별시 광진구 군자동(1121573000),"9,664","9,853"
서울특별시 광진구 중곡제1동(1121574000),"7,432","7,938"
서울특별시 광진구 중곡제2동(1121575000),"10,032","11,270"
서울특별시 광진구 중곡제3동(1121576000),"7,967","8,081"
서울특별시 광진구 중곡제4동(1121577000),"13,904","14,500"
서울특별시 광진구 능동(1121578000),"5,192","6,071"
서울특별시 광진구 광장동(1121581000),"16,699","17,786"
서울특별시 광진구 자양제1동(1121582000),"10,771","11,399"
서울특별시 광진구 자양제2동(1121583000),"11,791","12,549"
서울특별시 광진구 자양제3동(1121584000),"13,339","14,563"
서울특별시 광진구 자양제4동(1121584700),"8,965","9,027"
서울특별시 광진구 구의제1동(1121585000),"10,949","12,057"
서울특별시 광진구 구의제2동(1121586000),"12,699","13,662"
서울특별시 광진구 구의제3동(1121587000),"13,477","15,038"
