,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,cluster_sub,cluster_uni,대학 수 ,동,구시군,지하철 수 ,대학 수,cluster_rate_k,cluster_rate_t,cluster_h_r,cluster_h,위도,경도
62,213,165,5316,6586,150,64,1,2,1,1,2,방화1동,강서구,3,0,0,0,2,2,37.5674988,126.812119
63,114,136,4165,3651,104,47,2,1,2,2,1,방화2동,강서구,3,0,0,0,0,0,37.5667208,126.8067563
64,129,170,2709,3241,98,46,2,1,2,2,1,방화3동,강서구,1,0,2,2,2,2,37.57874435,126.8135407771909
65,329,97,5099,5513,198,39,1,2,1,1,2,염창동,강서구,2,0,0,0,2,2,37.5534373,126.8712245
66,200,165,4643,5326,101,52,2,2,1,1,2,우장산동,강서구,3,1,0,0,2,2,37.5483601,126.8417581
67,352,208,9008,9428,476,140,1,2,1,1,2,화곡1동,강서구,1,0,0,0,1,1,37.5304841,126.8415804
68,100,74,2433,2904,60,32,0,0,0,0,0,화곡2동,강서구,0,0,1,1,1,1,37.5328386,126.8549885
69,93,109,3201,3310,53,25,2,1,2,2,1,화곡3동,강서구,1,0,2,2,1,1,37.5425305,126.8384344828297
70,91,94,2412,2902,54,43,0,1,2,2,1,화곡4동,강서구,0,0,1,1,1,1,37.5333278,126.8612649
71,110,123,4124,4091,79,38,2,1,2,2,1,화곡6동,강서구,0,0,2,2,1,1,37.5420589,126.842453
72,134,103,3484,4190,84,38,2,1,2,2,1,화곡8동,강서구,1,0,2,2,1,1,37.5332362,126.8472185
73,185,169,5426,5723,119,72,1,2,1,1,2,화곡본동,강서구,1,1,0,0,1,1,37.5440294,126.8477100611912
74,41,59,4559,4649,80,19,2,1,0,2,0,낙성대동,관악구,1,1,2,2,1,1,37.47627505,126.9584078
75,117,162,2965,3610,78,54,2,1,2,2,1,난곡동,관악구,0,0,1,1,1,1,37.4709304,126.9216413
76,68,89,1531,1811,34,24,0,0,0,0,0,난향동,관악구,0,0,1,1,0,0,37.4615331,126.9187322
77,107,74,3901,4151,119,33,2,1,2,2,1,남현동,관악구,2,0,2,2,1,1,37.4742961,126.9774189
78,79,89,5684,5855,101,36,1,1,2,2,1,대학동,관악구,0,0,0,0,1,1,37.4708216,126.9383512
79,108,140,3560,4143,82,54,2,1,2,2,1,미성동,관악구,0,0,2,2,1,1,37.4761893,126.9155584
80,94,143,4141,4095,163,40,2,1,2,2,1,보라매동,관악구,0,0,2,2,1,1,37.4821788,126.950987
81,64,161,1678,3207,55,37,0,1,2,2,1,삼성동,관악구,0,0,1,1,0,0,37.4595058,126.9276122
82,62,103,4789,5330,115,39,2,1,2,2,1,서림동,관악구,0,0,2,2,1,1,37.47495834999999,126.9349991683946
83,92,106,5360,5494,217,40,1,2,1,1,2,서원동,관악구,1,0,0,0,1,1,37.4708216,126.9383512
84,153,145,2722,3623,79,36,2,1,2,2,1,성현동,관악구,0,0,1,1,2,2,37.4894094,126.9482011
85,67,68,7367,6736,126,36,1,2,1,1,2,신림동,관악구,2,0,0,0,1,1,37.48740505,126.9271533163815
86,50,87,3565,3837,67,38,2,1,2,2,1,신원동,관악구,0,0,2,2,1,1,37.4819063,126.9273435
87,160,149,4516,5189,127,52,2,2,1,1,2,은천동,관악구,1,0,2,2,0,0,37.48524725,126.9424181539992
88,117,95,4636,4876,106,28,2,1,2,2,1,인헌동,관악구,1,0,2,2,1,1,37.4751124,126.9652287
89,66,76,3511,3598,64,38,2,1,2,2,1,조원동,관악구,1,0,2,2,1,1,37.4827156,126.9078745
90,39,60,3511,3587,63,15,2,0,0,0,0,중앙동,관악구,1,0,2,2,1,1,37.484114,126.9497942047471
91,109,113,8887,8349,154,44,1,2,1,1,2,청룡동,관악구,2,0,0,0,0,0,37.47910325,126.94163715
92,109,66,1864,2265,78,15,0,0,0,0,0,청림동,관악구,0,0,1,1,0,0,37.4918207,126.9586072
93,128,112,6364,6553,118,26,1,2,1,1,2,행운동,관악구,2,0,0,0,0,0,37.4806266,126.9570766
94,139,80,3468,4183,78,27,2,1,2,2,1,광장동,광진구,1,1,2,2,2,2,37.5452349,127.0988974
95,91,97,3938,4313,125,33,2,1,2,2,1,구의1동,광진구,1,0,2,2,1,1,37.5435491,127.0864008
96,123,125,3388,3713,94,47,2,1,2,2,1,구의2동,광진구,1,0,2,2,1,1,37.547771,127.0902816
97,158,116,3625,4244,117,46,2,1,2,2,1,구의3동,광진구,0,0,2,2,0,0,37.5380399,127.0920061
98,85,99,3587,3831,93,31,2,1,2,2,1,군자동,광진구,2,1,2,2,1,1,37.5519973,127.0713059
99,74,50,2043,2294,66,24,0,0,0,0,0,능동,광진구,2,0,2,2,1,1,37.5542428,127.0800908
100,92,124,3673,4011,102,42,2,1,2,2,1,자양1동,광진구,0,0,2,2,1,1,37.5330502,127.0794998
101,113,94,2953,3885,89,39,2,1,2,2,1,자양2동,광진구,1,0,2,2,1,1,37.5296488,127.0842557
102,154,108,3285,3924,99,26,2,1,2,2,1,자양3동,광진구,1,0,2,2,0,0,37.5338424,127.0728903
103,65,123,3112,2763,66,25,2,1,2,2,1,자양4동,광진구,1,0,2,2,1,1,37.5344883,127.0661053
104,95,70,2619,2827,102,32,0,1,2,2,1,중곡1동,광진구,1,0,2,2,1,1,37.5614397,127.0802968
105,94,103,3176,3604,95,44,2,1,2,2,1,중곡2동,광진구,1,0,2,2,1,1,37.5376771,127.06928
106,69,93,2281,2737,74,30,0,0,0,0,0,중곡3동,광진구,1,0,1,1,1,1,37.5688317,127.0801796
107,143,133,3495,4190,105,50,2,1,2,2,1,중곡4동,광진구,0,0,2,2,1,1,37.559077,127.0894815
108,37,71,6879,6231,94,27,1,1,2,2,1,화양동,광진구,1,1,0,0,1,1,37.5467536,127.0714156
109,27,76,1687,1788,45,19,0,0,0,0,0,가리봉동,구로구,0,0,1,1,1,1,37.48081,126.89595
110,185,173,3643,4184,148,58,2,2,1,1,2,개봉1동,구로구,1,1,2,2,0,0,37.4979691,126.8524264
111,159,140,3068,3909,101,46,2,1,2,2,1,개봉2동,구로구,1,0,2,2,0,0,37.4905437,126.8577851
112,94,139,2203,2749,56,38,0,1,2,2,1,개봉3동,구로구,0,0,1,1,1,1,37.486637,126.8521901
113,84,106,2297,2987,68,39,0,1,2,2,1,고척1동,구로구,0,1,1,1,0,0,37.4990811,126.8617107
114,120,155,2627,3257,48,43,2,1,2,2,1,고척2동,구로구,0,0,1,1,0,0,37.5082046,126.8530379
115,147,74,2116,2595,173,36,0,1,2,2,1,구로1동,구로구,1,0,1,1,0,0,37.4918755,126.8760577
116,83,159,2655,3208,100,50,2,1,2,2,1,구로2동,구로구,1,0,2,2,1,1,37.4861657,126.8855372
117,121,96,4411,4658,122,44,2,1,1,2,2,구로3동,구로구,3,0,0,0,0,0,37.48740095,126.8903998443694
118,89,127,2629,3154,88,42,0,1,2,2,1,구로4동,구로구,2,0,2,2,0,0,37.4915913,126.8891239
119,184,105,4675,4884,144,30,2,2,1,1,2,구로5동,구로구,2,0,0,0,0,0,37.5007652,126.8867941
120,141,107,2834,3246,103,28,2,1,2,2,1,수궁동,구로구,1,0,2,2,1,1,37.494002,126.831446
121,285,103,4067,4334,168,51,2,2,1,1,2,신도림동,구로구,3,0,0,0,2,2,37.5073792,126.8794801
122,162,104,3800,3883,130,48,2,1,2,2,1,오류1동,구로구,1,0,2,2,0,0,37.5013683,126.8785054
123,245,203,4021,4534,115,68,2,2,1,1,2,오류2동,구로구,2,1,2,2,2,2,37.488218,126.8397067
124,143,25,1437,1510,62,18,0,0,0,0,0,항동,구로구,0,0,1,1,0,0,37.480214,126.823492
125,81,89,6506,5835,167,45,1,2,1,1,2,가산동,금천구,2,0,0,0,1,1,37.471387,126.8983078
126,339,209,10101,7329,284,84,1,2,1,1,2,독산1동,금천구,1,0,0,0,2,2,37.4723043,126.8949927
127,74,129,2315,2495,76,41,0,1,2,2,1,독산2동,금천구,0,0,1,1,1,1,37.4665376,126.8933658
128,75,147,3308,3553,95,53,2,1,2,2,1,독산3동,금천구,0,0,2,2,1,1,37.47513505,126.9032273628488
129,63,85,1893,2203,55,29,0,0,0,0,0,독산4동,금천구,0,0,1,1,1,1,37.4511974,126.9062688
130,172,177,4196,4859,134,71,2,2,1,1,2,시흥1동,금천구,0,0,2,2,0,0,37.4535184,126.9032550462156
131,81,108,1932,2392,64,20,0,0,0,0,0,시흥2동,금천구,0,0,1,1,2,2,37.4496013,126.9144265
132,37,59,1178,1415,35,22,0,0,0,0,0,시흥3동,금천구,1,0,1,1,1,1,37.44025655,126.9057992102459
133,91,103,2065,2454,76,48,0,1,2,2,1,시흥4동,금천구,0,0,1,1,1,1,37.4610734,126.9096003
134,79,139,2169,2512,75,47,0,1,2,2,1,시흥5동,금천구,0,0,1,1,1,1,37.4522005,126.9081009
135,169,193,4749,5616,107,78,1,2,1,1,2,공릉1동,노원구,2,0,0,0,2,2,37.62479985,127.0738333034867
136,202,152,6366,5675,129,40,1,2,1,1,2,공릉2동,노원구,1,3,0,0,2,2,37.6203639,127.0828298
137,101,50,3657,2556,89,22,2,0,0,0,0,상계10동,노원구,1,0,2,2,0,0,37.6584915,127.0646714
138,132,227,3849,4459,121,62,2,2,1,1,2,상계1동,노원구,1,0,2,2,2,2,37.67985835,127.0548906
139,62,101,2575,2966,47,31,0,0,0,0,0,상계2동,노원구,0,0,1,1,0,0,37.6604728,127.0672426
140,87,207,2291,2875,69,62,0,1,2,2,1,상계3.4동,노원구,1,0,1,1,0,0,37.6729272,127.0832564
141,74,150,2622,3096,65,55,0,1,2,2,1,상계5동,노원구,1,0,2,2,0,0,37.6643171,127.0666903
142,172,138,3917,4781,145,51,2,2,2,1,1,상계6.7동,노원구,0,1,2,2,2,2,37.6548557,127.0670160087209
143,309,85,3109,3671,286,26,2,2,1,1,2,상계8동,노원구,1,0,2,2,2,2,37.66728,127.05394
144,124,91,2318,3000,77,29,0,1,2,2,1,상계9동,노원구,1,0,2,2,2,2,37.6644903,127.0638556529496
145,82,120,2843,3560,62,43,2,1,2,2,1,월계1동,노원구,1,1,2,2,0,0,37.6149158,127.0647959
146,127,186,2391,3122,79,45,0,1,2,2,1,월계2동,노원구,2,1,2,2,2,2,37.6323479,127.0508606
147,193,168,3146,3816,126,43,2,1,2,2,1,월계3동,노원구,1,0,2,2,2,2,37.6307063,127.0631762
148,32,89,2928,3496,28,24,2,0,0,0,0,중계1동,노원구,0,0,1,1,2,2,37.652548,127.0774758
149,148,274,2980,4024,126,45,2,2,2,1,1,중계2.3동,노원구,1,0,2,2,2,2,37.6421309,127.0687063
150,58,127,1793,2404,50,33,0,0,0,0,0,중계4동,노원구,1,0,1,1,0,0,37.6587711,127.078
151,44,97,2535,3288,29,30,2,0,0,0,0,중계본동,노원구,0,0,1,1,0,0,37.6462176,127.0816372
152,77,135,2725,3509,67,36,2,1,2,2,1,하계1동,노원구,1,0,2,2,2,2,37.6584915,127.0646714
153,59,109,1942,2559,63,27,0,0,0,0,0,하계2동,노원구,1,0,1,1,2,2,37.6319755,127.06795095
154,55,180,2501,2777,53,48,0,1,2,2,1,도봉1동,도봉구,0,0,1,1,1,1,37.6755559,127.0436147
155,134,204,3248,3928,81,58,2,1,2,2,1,도봉2동,도봉구,2,0,2,2,2,2,37.6696587,127.0465179
156,85,174,3728,3832,76,59,2,1,2,2,1,방학1동,도봉구,1,0,2,2,0,0,37.6641126,127.04052
157,52,156,2251,2651,62,51,0,1,2,2,1,방학2동,도봉구,0,0,1,1,1,1,37.66307,127.02764
158,94,120,2329,3057,75,34,0,1,2,2,1,방학3동,도봉구,0,0,1,1,2,2,37.65915755,127.0280225451754
159,84,132,2707,2967,65,44,0,1,2,2,1,쌍문1동,도봉구,1,1,2,2,1,1,37.647923,127.025877
160,76,123,2372,2716,64,52,0,1,2,2,1,쌍문2동,도봉구,0,0,1,1,1,1,37.6580005,127.038856
161,57,93,2448,2462,56,29,0,0,0,0,0,쌍문3동,도봉구,1,0,1,1,1,1,37.6479673,127.0293845
162,49,82,1872,2374,48,41,0,0,0,0,0,쌍문4동,도봉구,0,0,1,1,0,0,37.66307,127.02764
163,104,142,2911,3427,72,41,2,1,2,2,1,창1동,도봉구,2,0,2,2,0,0,37.6585558,127.0346127
164,134,145,3403,3856,101,55,2,1,2,2,1,창2동,도봉구,0,0,2,2,1,1,37.6416389,127.0363754
165,39,100,1607,1925,40,34,0,0,0,0,0,창3동,도봉구,0,0,1,1,1,1,37.6395232,127.0428137
166,132,136,2691,3389,80,30,2,1,2,2,1,창4동,도봉구,2,0,2,2,2,2,37.65223684999999,127.0516348581459
167,123,133,2827,3321,90,35,2,1,2,2,1,창5동,도봉구,1,0,2,2,0,0,37.6563472,127.043619
168,239,111,4321,4275,138,42,2,2,1,1,2,답십리1동,동대문구,1,0,2,2,2,2,37.563476,127.0582719
169,203,153,3015,3736,113,34,2,1,2,2,1,답십리2동,동대문구,0,0,2,2,2,2,37.5674043,127.0613008
170,131,192,6633,5762,172,63,1,2,1,1,2,용신동,동대문구,3,0,0,0,0,0,37.5758133,127.0372885264926
171,42,102,3344,3417,44,19,2,0,0,0,0,이문1동,동대문구,1,2,2,2,1,1,37.5910468,127.0673671
172,87,109,2150,2487,51,24,0,0,0,0,0,이문2동,동대문구,1,0,1,1,0,0,37.6038427,127.0664774
173,207,191,5083,5251,163,72,1,2,1,1,2,장안1동,동대문구,1,0,0,0,0,0,37.567825,127.066442
174,213,149,3782,4239,100,73,2,2,2,1,1,장안2동,동대문구,0,0,2,2,0,0,37.5784903,127.0705968
175,154,185,3720,4279,139,58,2,2,1,1,2,전농1동,동대문구,1,0,2,2,0,0,37.5779625,127.0481235
176,81,122,1584,2056,41,23,0,0,0,0,0,전농2동,동대문구,0,0,1,1,0,0,37.5699527,127.0488074
177,100,208,3772,3800,79,31,2,1,2,2,1,제기동,동대문구,1,0,2,2,1,1,37.583117,127.0378458
178,56,173,2058,2747,49,46,0,1,2,2,1,청량리동,동대문구,1,0,1,1,0,0,37.5862577,127.0472758
179,28,50,2576,2423,34,10,0,0,0,0,0,회기동,동대문구,0,1,1,1,1,1,37.5907782,127.0553568843636
180,76,66,3048,2661,46,18,0,0,0,0,0,휘경1동,동대문구,1,0,2,2,1,1,37.5933701,127.0685208
181,85,100,3869,3898,59,42,2,1,2,2,1,휘경2동,동대문구,0,2,2,2,0,0,37.5840067,127.0681085
182,174,169,5978,6099,127,35,1,2,1,1,2,노량진1동,동작구,2,0,0,0,2,2,37.5123107,126.9420168
183,34,88,2455,4176,35,18,2,0,0,0,0,노량진2동,동작구,1,0,2,2,1,1,37.5083919,126.9373633521789
184,138,171,5306,5985,139,46,1,2,1,1,2,대방동,동작구,3,0,0,0,0,0,37.5092532,126.9284117
185,108,79,4857,5014,149,44,2,1,1,2,2,사당1동,동작구,2,0,0,0,1,1,37.4828484,126.9792285
186,188,125,5018,4265,132,37,2,2,1,1,2,사당2동,동작구,2,0,0,0,0,0,37.4918913,126.9766919
187,165,115,3358,3929,89,26,2,1,2,2,1,사당3동,동작구,1,1,2,2,0,0,37.4867741,126.9713152
188,86,54,2336,2574,66,19,0,0,0,0,0,사당4동,동작구,1,0,1,1,1,1,37.4807808,126.9689749
189,107,57,1958,2199,103,21,0,0,0,0,0,사당5동,동작구,1,0,1,1,1,1,37.4856628,126.9669792
190,183,196,7057,7950,164,46,1,2,1,1,2,상도1동,동작구,1,1,0,0,2,2,37.5011882,126.9536242
191,186,104,6402,6072,93,29,1,2,1,1,2,상도2동,동작구,1,0,0,0,0,0,37.50545095,126.9423061007496
192,130,139,3707,4054,108,39,2,1,2,2,1,상도3동,동작구,0,0,2,2,1,1,37.4991155,126.9313674112912
193,166,139,4226,4493,96,48,2,1,2,2,1,상도4동,동작구,0,0,2,2,1,1,37.4998253,126.9388527
194,104,101,2747,3192,90,29,2,1,2,2,1,신대방1동,동작구,1,0,2,2,0,0,37.4881887,126.9101357
195,108,75,4734,3632,68,21,2,1,2,2,1,신대방2동,동작구,1,0,2,2,0,0,37.499102,126.9260285
196,167,158,4118,4677,109,35,2,1,2,2,1,흑석동,동작구,1,1,2,2,0,0,37.5058049,126.9666400153883
197,168,192,5581,6271,158,54,1,2,1,1,2,공덕동,마포구,1,0,0,0,0,0,37.5501763,126.9600556
198,63,65,3448,3246,75,16,2,0,0,0,0,대흥동,마포구,1,1,2,2,1,1,37.5553084,126.9425782
199,157,108,2766,3161,110,31,2,1,2,2,1,도화동,마포구,2,1,2,2,0,0,37.5401656,126.9478744
200,86,110,2874,3514,87,29,2,1,2,2,1,망원1동,마포구,1,0,2,2,1,1,37.5560495,126.9071099
201,82,78,2387,2737,72,35,0,0,0,0,0,망원2동,마포구,1,0,1,1,1,1,37.5617831,126.90143
202,121,132,3881,4333,81,56,2,1,2,2,1,상암동,마포구,1,0,2,2,2,2,37.5783412,126.8946894389134
203,133,100,4514,4149,78,29,2,1,2,2,1,서강동,마포구,2,1,2,2,0,0,37.5484751,126.9157372
204,83,87,5455,5669,112,33,1,1,2,2,1,서교동,마포구,1,0,0,0,1,1,37.5557969,126.9142709
205,75,105,2989,3266,83,34,2,1,2,2,1,성산1동,마포구,1,0,2,2,1,1,37.5633684,126.907893603741
206,213,209,5529,6159,146,55,1,2,1,1,2,성산2동,마포구,3,0,0,0,2,2,37.5685917,126.908993283842
207,156,114,3111,3681,96,36,2,1,2,2,1,신수동,마포구,0,0,2,2,0,0,37.5484751,126.9157372
208,310,93,3558,3994,148,28,2,2,1,1,2,아현동,마포구,2,0,2,2,2,2,37.5471157,126.9521891
209,57,62,2877,3396,80,20,2,0,0,0,0,연남동,마포구,0,0,1,1,1,1,37.565249,126.9226214
210,61,55,6807,2133,69,20,2,0,0,0,0,염리동,마포구,1,0,2,2,1,1,37.5553168,126.9465406
211,160,78,2845,3021,90,32,2,1,2,2,1,용강동,마포구,0,0,1,1,0,0,37.5428,126.94372
212,90,65,2921,3394,93,19,2,0,0,0,0,합정동,마포구,1,0,2,2,1,1,37.5505137,126.9054768
213,124,50,1682,2037,31,14,0,0,0,0,0,남가좌1동,서대문구,1,0,1,1,0,0,37.5744472,126.9184977
214,157,147,3814,3930,97,52,2,1,2,2,1,남가좌2동,서대문구,0,1,2,2,0,0,37.5784404,126.9238857
215,118,87,1848,2205,41,21,0,0,0,0,0,북가좌1동,서대문구,1,0,1,1,0,0,37.5733702,126.9115745
216,141,182,3449,4215,96,68,2,2,2,1,1,북가좌2동,서대문구,1,0,2,2,1,1,37.5814047,126.9087115
217,147,67,2284,2860,59,15,0,0,0,0,0,북아현동,서대문구,1,0,1,1,0,0,37.55943405,126.9569920287671
218,55,68,6664,5957,82,22,1,1,2,2,1,신촌동,서대문구,1,2,0,0,1,1,37.5591393,126.9434279
219,138,211,5492,6499,137,49,1,2,1,1,2,연희동,서대문구,0,0,0,0,1,1,37.5913488,126.9398535
220,108,116,2126,2555,83,21,0,1,2,2,1,천연동,서대문구,0,1,1,1,0,0,37.5666295,126.9246236
221,84,121,2926,3025,84,23,2,1,2,2,1,충현동,서대문구,2,2,2,2,0,0,37.5647995,126.9547025
222,99,155,2604,2736,69,25,0,1,2,2,1,홍은1동,서대문구,0,0,1,1,0,0,37.5988595,126.9471727020396
223,108,162,3552,3840,94,37,2,1,2,2,1,홍은2동,서대문구,0,1,2,2,1,1,37.5801524,126.9341838
224,119,107,2891,3359,72,38,2,1,2,2,1,홍제1동,서대문구,2,1,2,2,0,0,37.5960059,126.9388009
225,71,85,1502,1898,53,22,0,0,0,0,0,홍제2동,서대문구,1,1,1,1,0,0,37.5861065,126.9493764
226,64,118,1650,1945,44,22,0,0,0,0,0,홍제3동,서대문구,1,0,1,1,1,1,37.5937788,126.9497219
227,115,82,2447,2940,64,30,0,1,2,2,1,내곡동,서초구,0,0,1,1,0,0,37.4621928,127.0526352
228,170,77,7591,5451,97,37,1,2,1,1,2,반포1동,서초구,4,0,0,0,0,0,37.50508325,127.0133939073663
229,78,33,1950,2206,19,16,0,0,0,0,0,반포2동,서초구,1,0,1,1,0,0,37.50457255000001,126.9945102758296
230,129,55,2887,3038,43,20,2,0,0,0,0,반포3동,서초구,1,0,2,2,0,0,37.5083279,127.0032639
231,110,66,2916,3091,64,24,2,0,0,0,0,반포4동,서초구,1,1,2,2,0,0,37.4990959,127.0000948
