자치구,동,구분,계,0~19세,20~39세,40~59세,60~79세,80세 이상
양천구,목3동,한국인,"21,874",2669,"7,200","6,708",4594,703
양천구,목3동,외국인,147,9,69,53,14,2
양천구,목4동,계,"25,441","4,395","6,815","9,227",4327,677
양천구,목4동,한국인,"25,265","4,379","6,750","9,147",4312,677
양천구,목4동,외국인,176,16,65,80,15,0
양천구,신월1동,계,"20,668",2120,"5,308","6,733",5760,747
양천구,신월1동,한국인,"20,397",2106,"5,219","6,607",5719,746
양천구,신월1동,외국인,271,14,89,126,41,1
양천구,신월2동,계,"20,714",3052,"5,334","6,553",5116,659
양천구,신월2동,한국인,"20,555",3036,"5,280","6,479",5101,659
양천구,신월2동,외국인,159,16,54,74,15,0
양천구,신월3동,계,"15,277",1843,3925,"4,922",4008,579
양천구,신월3동,한국인,"15,097",1821,3869,"4,846",3984,577
양천구,신월3동,외국인,180,22,56,76,24,2
양천구,신월4동,계,"17,897",2878,"4,294","5,826",4263,636
양천구,신월4동,한국인,"17,806",2872,"4,256","5,786",4256,636
양천구,신월4동,외국인,91,6,38,40,7,0
양천구,신월5동,계,"14,714",2063,4095,"4,725",3365,466
양천구,신월5동,한국인,"14,574",2048,4050,"4,666",3346,464
양천구,신월5동,외국인,140,15,45,59,19,2
양천구,신월6동,계,"13,871",2701,"3,993",4286,2603,288
양천구,신월6동,한국인,"13,821",2695,"3,978",4259,2601,288
양천구,신월6동,외국인,50,6,15,27,2,0
양천구,신월7동,계,"19,739",2123,"5,050","6,240",5366,960
양천구,신월7동,한국인,"19,600",2106,"5,011","6,174",5349,960
양천구,신월7동,외국인,139,17,39,66,17,0
양천구,신정1동,계,"20,337","4,626","4,167","7,483",3469,592
양천구,신정1동,한국인,"20,227","4,615","4,142","7,431",3450,589
양천구,신정1동,외국인,110,11,25,52,19,3
양천구,신정2동,계,"19,520","4,184",4054,"7,198",3526,558
양천구,신정2동,한국인,"19,415","4,181",4005,"7,153",3519,557
양천구,신정2동,외국인,105,3,49,45,7,1
양천구,신정3동,계,"50,271","9,224","12,369","17,175","9,993",1510
양천구,신정3동,한국인,"49,922","9,194","12,275","16,997","9,949",1507
양천구,신정3동,외국인,349,30,94,178,44,3
양천구,신정6동,계,"24,531","5,523","5,583","8,961",3935,529
양천구,신정6동,한국인,"24,508","5,523","5,571","8,951",3934,529
양천구,신정6동,외국인,23,0,12,10,1,0
양천구,신정7동,계,"29,030","5,130","6,355","10,128",6255,1162
양천구,신정7동,한국인,"28,874","5,126","6,289","10,063",6234,1162
양천구,신정7동,외국인,156,4,66,65,21,0
양천구,목5동,계,"41,103","10,394","7,836","15,552",6410,911
양천구,목5동,한국인,"41,022","10,389","7,780","15,536",6406,911
양천구,목5동,외국인,81,5,56,16,4,0
양천구,신정4동,계,"33,492","3,704","10,444","10,632","7,638",1074
양천구,신정4동,한국인,"32,844","3,654","10,208","10,338","7,570",1074
양천구,신정4동,외국인,648,50,236,294,68,0
강서구,염창동,계,"41,692","8,278","12,783","13,509",6317,805
강서구,염창동,한국인,"41,563","8,274","12,712","13,464",6310,803
강서구,염창동,외국인,129,4,71,45,7,2
강서구,등촌1동,계,"24,628",2471,"11,371","6,414",3497,875
강서구,등촌1동,한국인,"24,438",2456,"11,261","6,364",3482,875
강서구,등촌1동,외국인,190,15,110,50,15,0
강서구,등촌2동,계,"20,247",2670,"6,484","6,214",4296,583
강서구,등촌2동,한국인,"20,126",2661,"6,420","6,177",4285,583
강서구,등촌2동,외국인,121,9,64,37,11,0
강서구,등촌3동,계,"30,700","3,450","8,488","8,832","8,106",1824
강서구,등촌3동,한국인,"30,527","3,435","8,407","8,773","8,092",1820
강서구,등촌3동,외국인,173,15,81,59,14,4
강서구,화곡본동,계,"34,659","4,270","12,551","10,352",6589,897
강서구,화곡본동,한국인,"34,263","4,222","12,357","10,232",6557,895
강서구,화곡본동,외국인,396,48,194,120,32,2
강서구,화곡2동,계,"17,995",2400,"5,416","5,890",3800,489
강서구,화곡2동,한국인,"17,729",2358,"5,335","5,770",3780,486
강서구,화곡2동,외국인,266,42,81,120,20,3
강서구,화곡3동,계,"21,664",2772,"6,438","6,399",5324,731
강서구,화곡3동,한국인,"21,517",2765,"6,382","6,332",5308,730
강서구,화곡3동,외국인,147,7,56,67,16,1
강서구,화곡4동,계,"20,792",2333,"6,064","6,620",5056,719
강서구,화곡4동,한국인,"20,513",2305,"5,976","6,506",5007,719
강서구,화곡4동,외국인,279,28,88,114,49,0
강서구,화곡6동,계,"25,167",2664,"8,922","7,439",5434,708
강서구,화곡6동,한국인,"24,943",2653,"8,805","7,364",5415,706
강서구,화곡6동,외국인,224,11,117,75,19,2
강서구,화곡8동,계,"24,775",2687,"7,990","7,598",5749,751
강서구,화곡8동,한국인,"24,385",2645,"7,841","7,463",5689,747
강서구,화곡8동,외국인,390,42,149,135,60,4
강서구,가양1동,계,"34,435",3323,"17,040","8,809",4662,601
강서구,가양1동,한국인,"34,155",3316,"16,862","8,732",4647,598
강서구,가양1동,외국인,280,7,178,77,15,3
강서구,가양2동,계,"13,971",868,"3,867","3,333",4968,935
강서구,가양2동,한국인,"13,892",865,3813,"3,315",4964,935
강서구,가양2동,외국인,79,3,54,18,4,0
강서구,가양3동,계,"15,004",1182,"4,619","3,986",4373,844
강서구,가양3동,한국인,"14,906",1175,"4,583","3,943",4361,844
강서구,가양3동,외국인,98,7,36,43,12,0
강서구,발산1동,계,"36,393","7,766","8,513","12,760",6354,1000
강서구,발산1동,한국인,"36,210","7,749","8,457","12,663",6341,1000
강서구,발산1동,외국인,183,17,56,97,13,0
강서구,공항동,계,"31,297","5,532","9,647","9,535",5680,903
강서구,공항동,한국인,"30,684","5,493","9,458","9,248",5583,902
강서구,공항동,외국인,613,39,189,287,97,1
강서구,방화1동,계,"42,879","7,916","11,038","13,848","8,806",1271
강서구,방화1동,한국인,"42,641","7,905","10,945","13,743","8,778",1270
강서구,방화1동,외국인,238,11,93,105,28,1
강서구,방화2동,계,"23,523",2522,"7,187","6,795",5925,1094
강서구,방화2동,한국인,"23,240",2510,"7,058","6,679",5899,1094
강서구,방화2동,외국인,283,12,129,116,26,0
강서구,방화3동,계,"22,790",2602,"5,884","6,777",6285,1242
강서구,방화3동,한국인,"22,651",2598,"5,812","6,732",6268,1241
강서구,방화3동,외국인,139,4,72,45,17,1
강서구,화곡1동,계,"52,820","4,746","20,480","14,984","11,137",1473
강서구,화곡1동,한국인,"51,877","4,665","20,096","14,616","11,030",1470
강서구,화곡1동,외국인,943,81,384,368,107,3
강서구,우장산동,계,"42,995","8,877","10,253","15,077","7,834",954
강서구,우장산동,한국인,"42,786","8,858","10,155","15,005","7,814",954
강서구,우장산동,외국인,209,19,98,72,20,0
구로구,신도림동,계,"36,339","6,944","10,441","11,821",6254,879
구로구,신도림동,한국인,"36,022","6,919","10,289","11,713",6228,873
구로구,신도림동,외국인,317,25,152,108,26,6
구로구,구로1동,계,"21,132",3663,"6,490","6,679",3836,464
구로구,구로1동,한국인,"20,799",3637,"6,307","6,577",3815,463
구로구,구로1동,외국인,333,26,183,102,21,1
구로구,구로3동,계,"25,194",2679,"9,618","7,753",4398,746
구로구,구로3동,한국인,"23,573",2484,"9,143","7,031",4176,739
구로구,구로3동,외국인,"1,621",195,475,722,222,7
구로구,구로4동,계,"23,580",2079,"6,420","8,118",5935,1028
구로구,구로4동,한국인,"19,581",1693,"5,641","6,019",5209,1019
구로구,구로4동,외국인,"3,999",386,779,2099,726,9
구로구,구로5동,계,"32,012",3371,"11,486","9,729",6477,949
구로구,구로5동,한국인,"29,465",3131,"10,847","8,499",6049,939
구로구,구로5동,외국인,"2,547",240,639,1230,428,10
구로구,고척1동,계,"22,389",2994,"5,993","7,075",5513,814
구로구,고척1동,한국인,"22,081",2969,"5,839","6,984",5477,812
구로구,고척1동,외국인,308,25,154,91,36,2
구로구,고척2동,계,"26,993","3,771","6,546","8,970","6,570",1136
구로구,고척2동,한국인,"26,540","3,722","6,437","8,752","6,495",1134
구로구,고척2동,외국인,453,49,109,218,75,2
구로구,개봉2동,계,"31,144","4,173","7,904","9,632","8,276",1159
구로구,개봉2동,한국인,"30,723","4,112","7,769","9,464","8,219",1159
구로구,개봉2동,외국인,421,61,135,168,57,0
구로구,개봉3동,계,"20,602",2453,"5,167","6,621",5522,839
구로구,개봉3동,한국인,"20,239",2408,"5,075","6,454",5464,838
구로구,개봉3동,외국인,363,45,92,167,58,1
구로구,오류1동,계,"23,064",2330,"8,597","6,385",4886,866
구로구,오류1동,한국인,"22,473",2273,"8,398","6,121",4818,863
구로구,오류1동,외국인,591,57,199,264,68,3
구로구,수궁동,계,"23,656","3,268","6,156","7,654",5768,810
구로구,수궁동,한국인,"23,358","3,235","6,039","7,542",5733,809
구로구,수궁동,외국인,298,33,117,112,35,1
구로구,가리봉동,계,"13,060",774,3730,"5,041",3086,429
구로구,가리봉동,한국인,"9,055",505,2985,2722,2431,412
구로구,가리봉동,외국인,"4,005",269,745,2319,655,17
구로구,구로2동,계,"30,908",2803,"7,616","11,457","7,772",1260
