,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
59,199,131,8731,4702,138,62,1,2,37.5578196,126.8119134,공항동
60,179,93,4925,4867,210,48,2,2,37.5546086,126.8592392,등촌1동
61,123,74,2541,3319,78,37,2,0,37.5515234,126.864002,등촌2동
62,191,258,3485,4273,137,44,2,2,37.5588691,126.847941,등촌3동
63,170,133,3795,4734,92,54,2,0,37.5531474,126.8333072,발산1동
64,213,165,5316,6586,150,64,1,2,37.5674988,126.812119,방화1동
65,114,136,4165,3651,104,47,2,0,37.5667208,126.8067563,방화2동
66,129,170,2709,3241,98,46,2,0,37.57874435,126.8135407771909,방화3동
67,329,97,5099,5513,198,39,1,2,37.5534373,126.8712245,염창동
68,200,165,4643,5326,101,52,2,2,37.5483601,126.8417581,우장산동
69,352,208,9008,9428,476,140,1,2,37.5304841,126.8415804,화곡1동
70,100,74,2433,2904,60,32,0,1,37.5328386,126.8549885,화곡2동
71,93,109,3201,3310,53,25,2,0,37.5425305,126.8384344828297,화곡3동
72,91,94,2412,2902,54,43,0,0,37.5333278,126.8612649,화곡4동
73,110,123,4124,4091,79,38,2,0,37.5420589,126.842453,화곡6동
74,134,103,3484,4190,84,38,2,0,37.5332362,126.8472185,화곡8동
75,185,169,5426,5723,119,72,1,2,37.5440294,126.8477100611912,화곡본동
76,41,59,4559,4649,80,19,2,0,37.47627505,126.9584078,낙성대동
77,117,162,2965,3610,78,54,2,0,37.4709304,126.9216413,난곡동
78,68,89,1531,1811,34,24,0,1,37.4615331,126.9187322,난향동
79,107,74,3901,4151,119,33,2,0,37.4742961,126.9774189,남현동
80,79,89,5684,5855,101,36,1,0,37.4708216,126.9383512,대학동
81,108,140,3560,4143,82,54,2,0,37.4761893,126.9155584,미성동
82,94,143,4141,4095,163,40,2,0,37.4821788,126.950987,보라매동
83,64,161,1678,3207,55,37,0,0,37.4595058,126.9276122,삼성동
84,62,103,4789,5330,115,39,2,0,37.47495834999999,126.9349991683946,서림동
85,92,106,5360,5494,217,40,1,2,37.4708216,126.9383512,서원동
86,153,145,2722,3623,79,36,2,0,37.4894094,126.9482011,성현동
87,67,68,7367,6736,126,36,1,2,37.48740505,126.9271533163815,신림동
88,50,87,3565,3837,67,38,2,0,37.4819063,126.9273435,신원동
89,160,149,4516,5189,127,52,2,2,37.48524725,126.9424181539992,은천동
90,117,95,4636,4876,106,28,2,0,37.4751124,126.9652287,인헌동
91,66,76,3511,3598,64,38,2,0,37.4827156,126.9078745,조원동
92,39,60,3511,3587,63,15,2,1,37.484114,126.9497942047471,중앙동
93,109,113,8887,8349,154,44,1,2,37.47910325,126.94163715,청룡동
94,109,66,1864,2265,78,15,0,1,37.4918207,126.9586072,청림동
95,128,112,6364,6553,118,26,1,2,37.4806266,126.9570766,행운동
96,139,80,3468,4183,78,27,2,0,37.5452349,127.0988974,광장동
97,91,97,3938,4313,125,33,2,0,37.5435491,127.0864008,구의1동
98,123,125,3388,3713,94,47,2,0,37.547771,127.0902816,구의2동
99,158,116,3625,4244,117,46,2,0,37.5380399,127.0920061,구의3동
100,85,99,3587,3831,93,31,2,0,37.5519973,127.0713059,군자동
101,74,50,2043,2294,66,24,0,1,37.5542428,127.0800908,능동
102,92,124,3673,4011,102,42,2,0,37.5330502,127.0794998,자양1동
103,113,94,2953,3885,89,39,2,0,37.5296488,127.0842557,자양2동
104,154,108,3285,3924,99,26,2,0,37.5338424,127.0728903,자양3동
105,65,123,3112,2763,66,25,2,0,37.5344883,127.0661053,자양4동
106,95,70,2619,2827,102,32,0,0,37.5614397,127.0802968,중곡1동
107,94,103,3176,3604,95,44,2,0,37.5376771,127.06928,중곡2동
108,69,93,2281,2737,74,30,0,1,37.5688317,127.0801796,중곡3동
109,143,133,3495,4190,105,50,2,0,37.559077,127.0894815,중곡4동
110,37,71,6879,6231,94,27,1,0,37.5467536,127.0714156,화양동
111,27,76,1687,1788,45,19,0,1,37.48081,126.89595,가리봉동
112,185,173,3643,4184,148,58,2,2,37.4979691,126.8524264,개봉1동
113,159,140,3068,3909,101,46,2,0,37.4905437,126.8577851,개봉2동
114,94,139,2203,2749,56,38,0,0,37.486637,126.8521901,개봉3동
115,84,106,2297,2987,68,39,0,0,37.4990811,126.8617107,고척1동
116,120,155,2627,3257,48,43,2,0,37.5082046,126.8530379,고척2동
117,147,74,2116,2595,173,36,0,0,37.4918755,126.8760577,구로1동
118,83,159,2655,3208,100,50,2,0,37.4861657,126.8855372,구로2동
119,121,96,4411,4658,122,44,2,0,37.48740095,126.8903998443694,구로3동
120,89,127,2629,3154,88,42,0,0,37.4915913,126.8891239,구로4동
121,184,105,4675,4884,144,30,2,2,37.5007652,126.8867941,구로5동
122,141,107,2834,3246,103,28,2,0,37.494002,126.831446,수궁동
123,285,103,4067,4334,168,51,2,2,37.5073792,126.8794801,신도림동
124,162,104,3800,3883,130,48,2,0,37.5013683,126.8785054,오류1동
125,245,203,4021,4534,115,68,2,2,37.488218,126.8397067,오류2동
126,143,25,1437,1510,62,18,0,1,37.480214,126.823492,항동
127,81,89,6506,5835,167,45,1,2,37.471387,126.8983078,가산동
128,339,209,10101,7329,284,84,1,2,37.4723043,126.8949927,독산1동
129,74,129,2315,2495,76,41,0,0,37.4665376,126.8933658,독산2동
130,75,147,3308,3553,95,53,2,0,37.47513505,126.9032273628488,독산3동
131,63,85,1893,2203,55,29,0,1,37.4511974,126.9062688,독산4동
132,172,177,4196,4859,134,71,2,2,37.4535184,126.9032550462156,시흥1동
133,81,108,1932,2392,64,20,0,1,37.4496013,126.9144265,시흥2동
134,37,59,1178,1415,35,22,0,1,37.44025655,126.9057992102459,시흥3동
135,91,103,2065,2454,76,48,0,0,37.4610734,126.9096003,시흥4동
136,79,139,2169,2512,75,47,0,0,37.4522005,126.9081009,시흥5동
137,169,193,4749,5616,107,78,1,2,37.62479985,127.0738333034867,공릉1동
138,202,152,6366,5675,129,40,1,2,37.6203639,127.0828298,공릉2동
139,101,50,3657,2556,89,22,2,1,37.6584915,127.0646714,상계10동
140,132,227,3849,4459,121,62,2,2,37.67985835,127.0548906,상계1동
141,62,101,2575,2966,47,31,0,1,37.6604728,127.0672426,상계2동
142,87,207,2291,2875,69,62,0,0,37.6729272,127.0832564,상계3.4동
143,74,150,2622,3096,65,55,0,0,37.6643171,127.0666903,상계5동
144,172,138,3917,4781,145,51,2,2,37.6548557,127.0670160087209,상계6.7동
145,309,85,3109,3671,286,26,2,2,37.66728,127.05394,상계8동
146,124,91,2318,3000,77,29,0,0,37.6644903,127.0638556529496,상계9동
147,82,120,2843,3560,62,43,2,0,37.6149158,127.0647959,월계1동
148,127,186,2391,3122,79,45,0,0,37.6323479,127.0508606,월계2동
149,193,168,3146,3816,126,43,2,0,37.6307063,127.0631762,월계3동
150,32,89,2928,3496,28,24,2,1,37.652548,127.0774758,중계1동
151,148,274,2980,4024,126,45,2,2,37.6421309,127.0687063,중계2.3동
