,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
47,147,108,2959,3374,60,29,2,0,37.61629165,127.0184242812736,삼각산동
48,107,170,2699,3377,80,45,2,0,37.6273418,127.0183872,삼양동
49,129,165,3499,4115,94,64,2,0,37.6161293,127.0337833,송중동
50,61,182,3055,3791,61,57,2,0,37.6183081,127.0238655,송천동
51,85,158,2843,3186,66,48,2,0,37.61622,127.02204,수유1동
52,76,145,2602,2673,55,45,0,0,37.62518,127.04868,수유2동
53,49,138,3904,4212,87,55,2,0,37.6456937,127.0233309,수유3동
54,75,143,2950,2999,79,53,2,0,37.6479732,127.0115593,우이동
55,96,217,3619,4348,86,83,2,2,37.6414795,127.0106302,인수동
56,202,98,8104,8180,232,40,1,2,37.56946595,126.8447031597579,가양1동
57,68,173,1873,2213,67,28,0,0,37.5652368,126.8535763,가양2동
58,163,121,1795,2215,139,24,0,0,37.5652368,126.8535763,가양3동
