,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,cluster_sub,cluster_uni,대학 수 ,위도,경도,동
336,28,61,1666,1370,52,10,0,0,0,0,0,37.5069745,126.9138037,신길4동
337,55,64,1282,1745,62,15,0,0,0,0,0,37.50160715,126.9052434681105,신길5동
338,97,89,4100,2980,102,29,2,1,2,2,1,37.4993739,126.9098518,신길6동
339,155,54,3420,3698,79,19,2,1,2,2,1,37.5063831,126.9214518,신길7동
340,173,80,4037,3205,159,25,2,1,2,2,1,37.5242156,126.8881595,양평1동
341,202,76,3529,3600,171,31,2,1,2,2,1,37.5386996,126.8964016,양평2동
342,191,133,3837,4579,108,43,2,1,1,2,2,37.5176571,126.934559599494,여의동
343,160,175,8085,6648,252,55,1,2,1,1,2,37.5195754,126.9122636,영등포동
344,108,139,2899,3027,90,35,2,1,2,2,1,37.5144067,126.910022,영등포본동
345,16,84,1777,1714,26,26,0,0,0,0,0,37.54574635,126.9748285242405,남영동
346,36,92,1958,2430,54,22,0,0,0,0,0,37.5290252,126.9920025,보광동
347,56,62,2185,2248,31,18,0,0,0,0,0,37.5198,126.9829,서빙고동
348,61,57,1634,2019,50,16,0,0,0,0,0,37.5378177,126.9562536,용문동
349,30,50,1227,1536,60,9,0,0,0,0,0,37.546128,126.9855719,용산2가동
350,139,66,3177,3275,98,22,2,1,2,2,1,37.5372658,126.9677293,원효로1동
351,82,63,1863,2097,65,17,0,0,0,0,0,37.5338578,126.9518669,원효로2동
352,177,111,2574,4575,79,22,2,1,2,2,1,37.5211598,126.9728621,이촌1동
353,84,54,1133,1491,35,12,0,0,0,0,0,37.526192,126.9551755,이촌2동
354,17,48,1248,1360,33,8,0,0,0,0,0,37.5330546,126.9944068,이태원1동
355,27,53,1404,1492,35,10,0,0,0,0,0,37.5416891,126.9906339,이태원2동
356,62,109,3405,3490,79,31,2,1,2,2,1,37.5453328,126.9674888,청파동
357,116,66,5600,3927,126,45,2,1,1,2,2,37.5281196,126.9692003704209,한강로동
358,112,92,3144,3593,103,41,2,1,2,2,1,37.53462385,127.0005160667444,한남동
359,77,38,1612,1747,50,17,0,0,0,0,0,37.54246375,126.961888497125,효창동
360,84,100,2070,2578,71,36,0,1,2,2,1,37.5496447,126.9774587,후암동
361,78,166,2581,3741,81,40,2,1,2,2,1,37.6236538,126.9166665641447,갈현1동
362,107,170,3600,4118,88,46,2,1,2,2,1,37.6185062,126.9158164842187,갈현2동
363,110,269,4241,4363,94,49,2,2,2,1,1,37.6111833,126.9100301,구산동
364,239,215,5312,5725,162,55,1,2,1,1,2,37.5979948,126.9136836,녹번동
365,96,138,4320,4608,124,57,2,1,1,2,2,37.6136854,126.9206302,대조동
366,183,206,4679,5525,125,65,2,2,1,1,2,37.610389,126.9321126269629,불광1동
367,92,181,3529,4261,82,57,2,1,2,2,1,37.6263847,126.9272304,불광2동
368,39,58,2803,1266,52,22,0,0,0,0,0,37.594877,126.9103800940924,수색동
369,141,167,3363,3712,90,52,2,1,2,2,1,37.59778255,126.9118157675268,신사1동
370,69,104,2395,2819,60,29,0,0,0,0,0,37.5898793,126.9106113,신사2동
371,186,238,5845,6630,154,91,1,2,1,1,2,37.6208433,126.9244467,역촌동
372,157,138,6364,4239,141,47,1,2,1,1,2,37.5999132,126.926471,응암1동
373,260,98,3553,3322,92,41,2,1,2,2,1,37.59461935,126.9230958733867,응암2동
374,85,175,3250,3832,81,54,2,1,2,2,1,37.5922353,126.9157499812642,응암3동
375,75,90,1758,2071,42,29,0,0,0,0,0,37.5843584,126.907023146055,증산동
376,227,210,5676,6719,122,73,1,2,1,1,2,37.6349044,126.9210617,진관동
377,8,21,498,651,9,7,0,0,0,0,0,37.58002545,126.9848046483195,가회동
378,76,51,1565,1907,35,15,0,0,0,0,0,37.5718765,126.9619404998649,교남동
379,39,24,904,1049,17,3,0,0,0,0,0,37.5749571,126.9580276,무악동
380,21,45,1075,1369,35,7,0,0,0,0,0,37.5928744,126.9643098,부암동
381,28,46,1686,1669,42,16,0,0,0,0,0,37.57619145,126.96882915,사직동
382,9,24,302,391,11,6,0,0,0,0,0,37.5849793,126.9817816272911,삼청동
383,28,41,842,984,18,8,0,0,0,0,0,37.5795738,127.0152701,숭인1동
384,28,66,2209,2010,38,16,0,0,0,0,0,37.5753495,127.0198525,숭인2동
385,28,63,1320,1500,35,7,0,0,0,0,0,37.57697485,127.0043164211567,이화동
386,14,81,1838,1746,28,21,0,0,0,0,0,37.5707276,126.9889123,종로1.2.3.4가동
387,8,40,1133,1167,16,14,0,0,0,0,0,37.5720378,127.0050662,종로5.6가동
388,11,36,709,807,20,13,0,0,0,0,0,37.5795738,127.0152701,창신1동
389,26,69,717,947,21,16,0,0,0,0,0,37.5727054,127.0107733,창신2동
390,36,30,741,978,30,8,0,0,0,0,0,37.5795738,127.0152701,창신3동
391,57,54,1406,1671,31,16,0,0,0,0,0,37.5840835,126.9706357,청운효자동
392,71,104,2239,2319,46,21,0,0,0,0,0,37.6063535,126.9683005625856,평창동
393,41,72,3020,3263,46,10,2,0,0,0,0,37.586829,127.0006022,혜화동
394,15,32,1196,1031,35,18,0,0,0,0,0,37.561279,126.9899418,광희동
395,66,60,1968,2306,63,29,0,0,0,0,0,37.5543101,127.0083037,다산동
396,68,54,1058,1349,23,12,0,0,0,0,0,37.558765,127.019755,동화동
397,7,16,630,576,6,7,0,0,0,0,0,37.5600403,126.9858441496924,명동
398,16,6,715,514,11,5,0,0,0,0,0,37.5629075,126.977303,소공동
399,53,61,1584,1649,45,22,0,0,0,0,0,37.5650724,127.0218508,신당5동
400,32,51,1612,1549,51,27,0,0,0,0,0,37.567665,127.0160853,신당동
401,90,101,2272,2549,65,27,0,0,0,0,0,37.552466,127.0090055,약수동
402,7,17,557,567,12,2,0,0,0,0,0,37.566884,126.9919783,을지로동
403,13,26,981,1020,21,8,0,0,0,0,0,37.561904,127.007731,장충동
404,131,76,1811,2169,70,17,0,0,0,0,0,37.5596724,126.9666088,중림동
405,80,88,1522,1885,76,12,0,0,0,0,0,37.5570674,127.0147029,청구동
406,9,22,909,855,17,8,0,0,0,0,0,37.5604895,126.9947912,필동
407,92,55,2405,2342,80,29,0,0,0,0,0,37.5674459,127.0213693154367,황학동
408,11,58,697,765,15,10,0,0,0,0,0,37.557318,126.97929,회현동
409,66,110,2105,2733,60,57,0,1,2,2,1,37.6056885,127.1008639,망우3동
410,123,200,6452,4428,123,68,1,2,1,1,2,37.60056585,127.1015047176089,망우본동
411,106,155,2834,3459,159,68,2,1,2,2,1,37.5897636,127.0790416,면목2동
412,89,124,3477,4050,80,47,2,1,2,2,1,37.5829594,127.0880821,면목3.8동
413,87,100,2921,2668,70,36,0,1,2,2,1,37.5945908,127.0859844,면목4동
414,68,54,1936,1660,58,21,0,0,0,0,0,37.6000886,127.0793834,면목5동
415,125,121,2788,3317,86,48,2,1,2,2,1,37.5945908,127.0859844,면목7동
416,164,195,4615,5452,140,65,2,2,1,1,2,37.587364,127.087499,면목본동
417,155,169,4050,4910,122,50,2,2,1,1,2,37.6137081,127.0787915,묵1동
418,97,104,2394,2996,76,44,0,1,2,2,1,37.6096085,127.0760267,묵2동
419,130,135,2874,3567,122,52,2,1,2,2,1,37.5992868,127.0876858152927,상봉1동
420,126,96,4437,4029,160,44,2,1,2,2,1,37.5893617,127.07421,상봉2동
421,183,249,3719,4709,95,49,2,2,1,1,2,37.6059303,127.0995285669914,신내1동
422,132,139,2182,2903,74,39,0,1,2,2,1,37.60625615,127.0942087784985,신내2동
423,131,118,2619,3157,98,34,0,1,2,2,1,37.60114675,127.0806413557903,중화1동
424,91,176,3464,3919,95,49,2,1,2,2,1,37.6087589,127.0750519,중화2동
