,동,1인가구,etc,합계,비율,,,,,,,,,,,,,
200,성북동,2945,4340,7285,40.42553191,,,,,,,,,,,,,
201,성산1동,3506,5131,8637,40.59279843,,,,,,,,,,,,,
202,성산2동,6694,10699,17393,38.48674754,,,,,,,,,,,,,
203,성수1가1동,2435,4502,6937,35.10162895,,,,,,,,,,,,,
204,성수1가2동,2499,3603,6102,40.95378564,,,,,,,,,,,,,
205,성수2가1동,2990,4435,7425,40.26936027,,,,,,,,,,,,,
206,성수2가3동,2091,2797,4888,42.77823241,,,,,,,,,,,,,
207,성현동,3082,8479,11561,26.65859355,,,,,,,,,,,,,
208,세곡동,4891,11848,16739,29.21918872,,,,,,,,,,,,,
209,소공동,435,486,921,47.23127036,,,,,,,,,,,,,
210,송정동,2305,2748,5053,45.61646547,,,,,,,,,,,,,
211,송중동,4548,8099,12647,35.96109749,,,,,,,,,,,,,
212,송천동,4508,7426,11934,37.77442601,,,,,,,,,,,,,
213,송파1동,4706,6577,11283,41.7087654,,,,,,,,,,,,,
214,송파2동,1242,5743,6985,17.7809592,,,,,,,,,,,,,
215,수궁동,2086,7001,9087,22.95587102,,,,,,,,,,,,,
216,수색동,963,2632,3595,26.78720445,,,,,,,,,,,,,
217,수서동,3083,4294,7377,41.79205639,,,,,,,,,,,,,
218,수유1동,3467,5699,9166,37.82456906,,,,,,,,,,,,,
219,수유2동,2674,6046,8720,30.66513761,,,,,,,,,,,,,
220,수유3동,5632,5868,11500,48.97391304,,,,,,,,,,,,,
221,숭인1동,1007,1615,2622,38.4057971,,,,,,,,,,,,,
222,숭인2동,2988,2077,5065,58.99308983,,,,,,,,,,,,,
223,시흥1동,5285,9154,14439,36.60225777,,,,,,,,,,,,,
224,시흥2동,1592,6233,7825,20.34504792,,,,,,,,,,,,,
225,시흥3동,1142,3226,4368,26.14468864,,,,,,,,,,,,,
226,시흥4동,2417,5887,8304,29.10645472,,,,,,,,,,,,,
227,시흥5동,2910,5430,8340,34.89208633,,,,,,,,,,,,,
228,신길1동,4995,4101,9096,54.91424802,,,,,,,,,,,,,
229,신길3동,2205,4656,6861,32.13817228,,,,,,,,,,,,,
230,신길4동,1475,2788,4263,34.60004692,,,,,,,,,,,,,
231,신길5동,1386,3036,4422,31.34328358,,,,,,,,,,,,,
232,신길6동,2980,4638,7618,39.11787871,,,,,,,,,,,,,
233,신길7동,1599,5623,7222,22.14068125,,,,,,,,,,,,,
234,신내1동,2426,11220,13646,17.77810347,,,,,,,,,,,,,
235,신내2동,2273,6181,8454,26.88668086,,,,,,,,,,,,,
236,신당5동,2182,2767,4949,44.08971509,,,,,,,,,,,,,
237,신당동,2223,1802,4025,55.22981366,,,,,,,,,,,,,
238,신대방1동,3128,6311,9439,33.13910372,,,,,,,,,,,,,
239,신대방2동,3672,5120,8792,41.76524113,,,,,,,,,,,,,
240,신도림동,2324,10403,12727,18.26039129,,,,,,,,,,,,,
241,신림동,11942,3584,15526,76.91614067,,,,,,,,,,,,,
242,신사1동,3009,7961,10970,27.42935278,,,,,,,,,,,,,
243,신사2동,2314,5918,8232,28.10981535,,,,,,,,,,,,,
244,신사동_강,2047,4360,6407,31.94943031,,,,,,,,,,,,,
245,신사동_관,7282,5218,12500,58.256,,,,,,,,,,,,,
246,신수동,3184,6339,9523,33.43484196,,,,,,,,,,,,,
247,신원동,5505,4411,9916,55.51633723,,,,,,,,,,,,,
248,신월1동,3273,5746,9019,36.29005433,,,,,,,,,,,,,
249,신월2동,1749,6107,7856,22.26323829,,,,,,,,,,,,,
250,신월3동,2877,4184,7061,40.74493698,,,,,,,,,,,,,
251,신월4동,1151,5313,6464,17.80631188,,,,,,,,,,,,,
252,신월5동,1567,4246,5813,26.95682092,,,,,,,,,,,,,
253,신월6동,874,3962,4836,18.07278743,,,,,,,,,,,,,
254,신월7동,2217,6098,8315,26.66265785,,,,,,,,,,,,,
255,신정1동,929,5744,6673,13.92177431,,,,,,,,,,,,,
256,신정2동,1148,5453,6601,17.39130435,,,,,,,,,,,,,
257,신정3동,3582,13194,16776,21.35193133,,,,,,,,,,,,,
258,신정4동,5522,9039,14561,37.92321956,,,,,,,,,,,,,
259,신정6동,728,7068,7796,9.338122114,,,,,,,,,,,,,
260,신정7동,2450,8460,10910,22.45646196,,,,,,,,,,,,,
261,신촌동,9002,3530,12532,71.8321098,,,,,,,,,,,,,
262,쌍문1동,2489,6209,8698,28.61577374,,,,,,,,,,,,,
263,쌍문2동,2457,5478,7935,30.96408318,,,,,,,,,,,,,
264,쌍문3동,2761,4602,7363,37.49830232,,,,,,,,,,,,,
265,쌍문4동,1238,5530,6768,18.29196217,,,,,,,,,,,,,
266,아현동,2269,7191,9460,23.98520085,,,,,,,,,,,,,
267,안암동,5964,3300,9264,64.37823834,,,,,,,,,,,,,
268,암사1동,4551,9880,14431,31.53627607,,,,,,,,,,,,,
269,암사2동,1481,4422,5903,25.08893783,,,,,,,,,,,,,
270,암사3동,707,5174,5881,12.02176501,,,,,,,,,,,,,
271,압구정동,1822,7380,9202,19.80004347,,,,,,,,,,,,,
272,약수동,2054,4871,6925,29.66064982,,,,,,,,,,,,,
273,양재1동,4776,11970,16746,28.52024364,,,,,,,,,,,,,
274,양재2동,3938,5777,9715,40.53525476,,,,,,,,,,,,,
275,양평1동,3721,4516,8237,45.17421391,,,,,,,,,,,,,
276,양평2동,3391,6043,9434,35.94445622,,,,,,,,,,,,,
277,여의동,2672,9264,11936,22.38605898,,,,,,,,,,,,,
278,역삼1동,12735,7621,20356,62.56140696,,,,,,,,,,,,,
279,역삼2동,4735,9111,13846,34.1976022,,,,,,,,,,,,,
280,역촌동,5473,13295,18768,29.16133845,,,,,,,,,,,,,
281,연남동,4142,3806,7948,52.11373931,,,,,,,,,,,,,
282,연희동,9005,9388,18393,48.95884304,,,,,,,,,,,,,
283,염리동,1775,3194,4969,35.72147313,,,,,,,,,,,,,
284,염창동,2993,11692,14685,20.3813415,,,,,,,,,,,,,
285,영등포동,10170,5369,15539,65.44822704,,,,,,,,,,,,,
286,영등포본동,3226,5716,8942,36.07694028,,,,,,,,,,,,,
287,오금동,3077,11267,14344,21.45147797,,,,,,,,,,,,,
288,오류1동,4624,5923,10547,43.84185076,,,,,,,,,,,,,
289,오류2동,3258,11102,14360,22.68802228,,,,,,,,,,,,,
290,오륜동,361,5137,5498,6.566024009,,,,,,,,,,,,,
291,옥수동,2391,7683,10074,23.73436569,,,,,,,,,,,,,
292,왕십리2동,2275,4650,6925,32.85198556,,,,,,,,,,,,,
293,왕십리도선동,3632,7367,10999,33.02118374,,,,,,,,,,,,,
294,용강동,2388,5981,8369,28.53387501,,,,,,,,,,,,,
295,용답동,3111,2765,5876,52.94417971,,,,,,,,,,,,,
296,용문동,1576,3357,4933,31.9481046,,,,,,,,,,,,,
297,용산2가동,1911,2587,4498,42.48554913,,,,,,,,,,,,,
298,용신동,8464,7238,15702,53.90396128,,,,,,,,,,,,,
299,우이동,2436,5850,8286,29.39898624,,,,,,,,,,,,,
300,우장산동,2826,12117,14943,18.91186509,,,,,,,,,,,,,
301,원효로1동,2735,4180,6915,39.5516992,,,,,,,,,,,,,
302,원효로2동,1601,3842,5443,29.41392614,,,,,,,,,,,,,
303,월계1동,3440,6136,9576,35.92314119,,,,,,,,,,,,,
