,출생비_k,사망비_k,혼인비_k,이혼비_k,전입_s,전출_s,동,cluster_rate
202,0.003946896,0.004305705,0.002642137,0.001826663,0.302510124,0.478368214,상암동,2
203,0.005326818,0.004005127,0.003123999,0.001161487,0.654453949,0.360396015,서강동,2
204,0.003326387,0.003486694,0.004488618,0.001322539,1.177643742,1.334948961,서교동,0
205,0.003965736,0.00555203,0.004388748,0.0017978,-0.193435992,-0.205742308,성산1동,2
206,0.005388858,0.005287659,0.003693771,0.001391489,1.218787254,1.649114056,성산2동,0
207,0.006935491,0.005068243,0.004267994,0.001600498,-0.125604797,0.060336293,신수동,2
208,0.012353058,0.003705918,0.005897589,0.00111576,0.122924255,0.261017261,아현동,2
209,0.003816794,0.0041516,0.005356904,0.001339226,-0.255707254,-0.122392385,연남동,1
210,0.003620393,0.003264289,0.004095199,0.001187014,1.929346824,-0.932168944,염리동,2
211,0.007430111,0.003622179,0.004179437,0.001486022,-0.273499042,-0.362824855,용강동,1
212,0.005206224,0.003760051,0.005379765,0.001099092,-0.231243544,-0.123674691,합정동,2
213,0.008055086,0.003248019,0.002013772,0.000909445,-0.920119371,-0.993719657,남가좌1동,1
214,0.005286729,0.004949995,0.003266323,0.001751019,0.265258566,0.219983453,남가좌2동,2
215,0.006590706,0.004859249,0.002289991,0.001172922,-0.827824466,-0.88600591,북가좌1동,1
216,0.004494597,0.005801536,0.003060151,0.002167607,0.062320974,0.40271213,북가좌2동,2
217,0.009289687,0.004234075,0.003728514,0.000947927,-0.585411342,-0.466050529,북아현동,1
218,0.002733598,0.003379722,0.004075547,0.001093439,1.849839768,1.519601098,신촌동,0
219,0.003966429,0.006064613,0.003937687,0.00140837,1.198215498,1.867106162,연희동,0
220,0.006355184,0.006825939,0.004884077,0.00123573,-0.6732583,-0.661602271,천연동,1
221,0.004133045,0.005953552,0.004133045,0.001131667,-0.228463577,-0.360260242,충현동,2
222,0.004367583,0.006838135,0.003044073,0.001102925,-0.407493453,-0.545553532,홍은1동,1
223,0.004096961,0.006145442,0.003565874,0.001403589,0.119588294,0.16227966,홍은2동,2
224,0.005068575,0.004557458,0.003066701,0.001618537,-0.247923346,-0.146115055,홍제1동,2
225,0.005220204,0.00624954,0.003896772,0.001617528,-1.020198184,-1.082839959,홍제2동,1
226,0.003691101,0.006805467,0.002537632,0.001268816,-0.93791116,-1.052705756,홍제3동,1
227,0.006602365,0.004707774,0.00367436,0.001722356,-0.494784417,-0.414758268,내곡동,1
228,0.004922542,0.002229622,0.002808745,0.001071377,2.365245653,1.195177552,반포1동,0
229,0.004946728,0.002092846,0.001204972,0.001014713,-0.771113139,-0.885364757,반포2동,1
230,0.005836576,0.002488463,0.001945525,0.000904895,-0.250147319,-0.35192525,반포3동,2
231,0.005745926,0.003447555,0.003343084,0.001253656,-0.234023511,-0.317944127,반포4동,2
232,0.044776119,0.035820896,0.040298507,0.008955224,-1.437749231,4.411202273,반포본동,0
233,0.005710886,0.003747769,0.00481856,0.001606187,-0.283506924,-0.257675721,방배1동,2
234,0.005775446,0.004927674,0.004079903,0.001377629,-0.127272777,0.205878081,방배2동,2
235,0.005446681,0.004378705,0.003097132,0.001174774,0.454296323,1.924809955,방배3동,0
236,0.005467749,0.003331909,0.003374626,0.00106792,0.191867437,0.190490403,방배4동,2
237,0.004083594,0.00379534,0.002402114,0.001249099,-0.144508573,-0.262163794,방배본동,1
