기간,자치구,동,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
기간,자치구,동,합계,주택,주택,주택,주택,아파트,연립주택,다세대주택,비거주용건물내주택
기간,자치구,동,합계,계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
2020,중랑구,면목4동,"5,408","1,034",80,793,161,"2,867",157,"1,288",62
2020,중랑구,면목5동,"4,409",621,68,445,108,"2,174",264,"1,300",50
2020,중랑구,면목7동,"6,204","1,264",219,858,187,"3,151",232,"1,454",103
2020,중랑구,상봉1동,"7,937",622,91,413,118,"5,365",258,"1,639",53
2020,중랑구,상봉2동,"6,146",906,76,633,197,"2,043",173,"2,891",133
2020,중랑구,중화1동,"5,691",738,58,536,144,"2,120",639,"2,137",57
2020,중랑구,중화2동,"6,553","2,199",163,"1,704",332,868,561,"2,790",135
2020,중랑구,묵1동,"10,805",788,56,573,159,"6,568",360,"3,004",85
2020,중랑구,묵2동,"5,309",996,78,705,213,"1,652",154,"2,375",132
2020,중랑구,망우3동,"3,604","1,348",112,"1,023",213,61,111,"2,018",66
2020,중랑구,신내1동,"12,959",436,73,262,101,"11,411",297,747,68
2020,중랑구,신내2동,"8,440",9,7,X,X,"8,425",X,X,6
2020,중랑구,면목본동,"8,582","2,427",263,"1,794",370,962,220,"4,856",117
2020,중랑구,면목3.8동,"6,375","1,822",170,"1,295",357,"1,942",429,"2,055",127
2020,중랑구,망우본동,"7,453","1,822",175,"1,297",350,"3,446",401,"1,624",160
2020,성북구,소계,"138,621","22,520","9,622","9,897","3,001","79,206","6,262","29,213","1,420"
2020,성북구,돈암1동,"5,778",164,96,50,18,"5,341",80,184,9
2020,성북구,돈암2동,"8,240",47,32,13,X,"7,791",20,379,X
2020,성북구,안암동,"4,022","1,179",301,665,213,"1,209",214,"1,282",138
2020,성북구,보문동,"4,580",988,309,502,177,"2,491",42,965,94
2020,성북구,정릉1동,"5,856",577,188,280,109,"4,535",72,628,44
2020,성북구,정릉2동,"8,211",923,548,290,85,"3,105",739,"3,401",43
2020,성북구,정릉3동,"5,359","1,537","1,103",299,135,756,"1,148","1,860",58
2020,성북구,정릉4동,"8,993",590,296,200,94,"5,173",876,"2,303",51
2020,성북구,길음1동,"11,859",97,35,47,15,"11,470",37,234,21
2020,성북구,길음2동,"5,855",519,263,174,82,"5,152",32,113,39
2020,성북구,월곡1동,"8,267","1,021",310,543,168,"6,228",93,882,43
2020,성북구,월곡2동,"5,672","1,213",355,669,189,"3,384",172,815,88
2020,성북구,장위1동,"6,134","1,482",511,824,147,90,462,"4,010",90
2020,성북구,장위2동,"4,120","1,751",501,"1,049",201,347,196,"1,731",95
2020,성북구,장위3동,"6,078",909,466,384,59,"4,619",199,327,24
2020,성북구,성북동,"5,605","2,391","1,765",448,178,630,769,"1,729",86
2020,성북구,삼선동,"6,987","2,002",846,857,299,"2,897",284,"1,676",128
2020,성북구,동선동,"4,298","1,129",375,519,235,"1,086",400,"1,548",135
2020,성북구,종암동,"12,235","1,419",466,751,202,"8,072",328,"2,296",120
2020,성북구,석관동,"10,472","2,582",856,"1,333",393,"4,830",99,"2,850",111
2020,강북구,소계,"97,452","17,557","4,814","10,222","2,521","34,733","4,789","39,331","1,042"
2020,강북구,번1동,"4,529","1,672",261,"1,183",228,880,86,"1,803",88
2020,강북구,번2동,"6,723",290,86,156,48,"2,625",224,"3,558",26
2020,강북구,번3동,"7,257",35,5,12,18,"6,861",66,271,24
2020,강북구,수유1동,"6,781","1,541",579,736,226,622,494,"4,051",73
2020,강북구,수유2동,"7,243",868,154,532,182,"2,640",204,"3,412",119
2020,강북구,수유3동,"5,962","1,793",230,"1,237",326,301,247,"3,485",136
2020,강북구,삼양동,"7,808","1,885",870,839,176,"2,647",612,"2,606",58
2020,강북구,미아동,"6,555","1,470",211,"1,017",242,"1,100",444,"3,450",91
2020,강북구,송중동,"8,803","1,991",505,"1,214",272,"2,985",475,"3,261",91
