기간,자치구,동,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
기간,자치구,동,합계,주택,주택,주택,주택,아파트,연립주택,다세대주택,비거주용건물내주택
기간,자치구,동,합계,계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
2020,관악구,중앙동,"3,591",950,226,567,157,"1,013",157,"1,398",73
2020,관악구,인헌동,"6,849",831,54,593,184,"1,319",692,"3,925",82
2020,관악구,남현동,"5,277",478,38,353,87,"2,093",529,"2,135",42
2020,관악구,서원동,"5,454",979,82,784,113,785,448,"3,171",71
2020,관악구,신원동,"3,858","1,359",87,"1,121",151,677,82,"1,653",87
2020,관악구,서림동,"5,152","1,039",94,779,166,"1,763",274,"1,951",125
2020,관악구,신사동,"4,211","1,654",51,"1,342",261,297,134,"2,034",92
2020,관악구,신림동,"4,242",829,151,490,188,"1,244",14,"1,965",190
2020,관악구,난향동,"4,938",445,82,336,27,"3,873",79,525,16
2020,관악구,조원동,"4,180",858,16,631,211,"1,231",130,"1,832",129
2020,관악구,대학동,"4,400","1,102",85,812,205,"2,006",232,826,234
2020,관악구,은천동,"10,519","1,033",296,568,169,"6,053",246,"3,079",108
2020,관악구,성현동,"10,578",375,115,212,48,"8,669",129,"1,368",37
2020,관악구,청룡동,"7,921","1,220",122,854,244,"4,392",456,"1,732",121
2020,관악구,난곡동,"7,659","1,496",191,"1,168",137,915,715,"4,470",63
2020,관악구,삼성동,"7,833","1,844","1,127",619,98,"4,712",233,"1,010",34
2020,관악구,미성동,"8,791","1,134",214,728,192,"3,654",425,"3,470",108
2020,서초구,소계,"133,528","5,481",871,"3,579","1,031","94,499","5,356","26,931","1,261"
2020,서초구,서초1동,"6,735",443,118,250,75,"4,527",239,"1,436",90
2020,서초구,서초2동,"6,901",97,5,67,25,"6,285",81,387,51
2020,서초구,서초3동,"10,040",316,30,200,86,"6,096",661,"2,844",123
2020,서초구,서초4동,"9,224",19,X,13,5,"9,077",48,72,8
2020,서초구,잠원동,"11,494",231,11,151,69,"10,436",123,608,96
2020,서초구,반포본동,"3,662",X,X,X,X,"3,660",X,X,X
2020,서초구,반포1동,"9,429",478,12,383,83,"6,526",309,"2,047",69
2020,서초구,반포2동,"4,702",X,X,X,X,"4,702",X,X,X
2020,서초구,반포3동,"7,183",6,X,X,5,"7,177",X,X,X
2020,서초구,반포4동,"6,192",118,24,68,26,"3,834",967,"1,211",62
2020,서초구,방배본동,"5,743",314,41,200,73,"3,500",159,"1,697",73
2020,서초구,방배1동,"5,539",399,29,311,59,"1,952",265,"2,841",82
2020,서초구,방배2동,"5,306",776,49,615,112,"2,125",189,"2,147",69
2020,서초구,방배3동,"6,828",326,54,236,36,"4,384",327,"1,758",33
2020,서초구,방배4동,"7,712",463,79,267,117,"3,778",259,"3,107",105
2020,서초구,양재1동,"14,561",516,139,298,79,"10,799",869,"2,244",133
2020,서초구,양재2동,"6,842",386,10,242,134,909,844,"4,463",240
2020,서초구,내곡동,"5,435",593,269,277,47,"4,732",16,69,25
2020,강남구,소계,"173,745","6,968",839,"4,669","1,460","126,023","5,827","33,190","1,737"
2020,강남구,신사동,"4,948",343,25,210,108,"3,582",107,786,130
2020,강남구,논현1동,"8,113",854,64,620,170,"1,800",962,"4,278",219
2020,강남구,논현2동,"7,132",616,60,413,143,"2,852",676,"2,812",176
2020,강남구,삼성1동,"4,595",217,92,81,44,"3,111",384,832,51
2020,강남구,삼성2동,"10,178",370,21,279,70,"6,887",149,"2,685",87
2020,강남구,대치1동,"6,935",5,X,X,X,"6,868",12,44,6
2020,강남구,대치4동,"6,564",464,13,343,108,"1,985",130,"3,861",124
2020,강남구,역삼1동,"11,995","1,217",152,806,259,"2,678",972,"6,915",213
2020,강남구,역삼2동,"11,862",297,25,228,44,"8,691",258,"2,561",55
2020,강남구,도곡1동,"6,840",129,11,84,34,"5,802",187,664,58
2020,강남구,도곡2동,"10,213",45,X,22,21,"9,727",126,245,70
2020,강남구,개포1동,"1,608",7,X,X,X,"1,499",X,102,X
2020,강남구,개포4동,"7,409",258,5,174,79,"3,451",481,"3,031",188
2020,강남구,일원본동,"7,280",104,7,97,X,"6,884",291,X,X
2020,강남구,일원1동,"4,792",506,32,383,91,"3,033",7,"1,178",68
2020,강남구,일원2동,"6,680",X,X,X,X,"6,678",X,X,X
2020,강남구,수서동,"7,246",58,31,22,5,"7,185",X,X,X
2020,강남구,세곡동,"12,596",758,228,466,64,"11,467",199,163,9
2020,강남구,압구정동,"8,856",170,20,76,74,"7,842",247,496,101
2020,강남구,청담동,"9,731",361,34,239,88,"7,322",570,"1,356",122
2020,강남구,대치2동,"11,109",127,10,81,36,"9,998",60,889,35
2020,강남구,개포2동,"7,063",62,6,40,16,"6,681",9,292,19
2020,송파구,소계,"211,578","8,072",431,"5,705","1,936","127,239","4,900","69,796","1,571"
2020,송파구,풍납1동,"3,296",892,33,767,92,"1,596",204,562,42
2020,송파구,풍납2동,"7,608",499,14,378,107,"5,535",178,"1,341",55
2020,송파구,거여1동,"3,552",410,9,311,90,"1,542",212,"1,345",43
2020,송파구,거여2동,"5,382",306,14,249,43,"4,442",61,544,29
2020,송파구,마천1동,"5,299",986,145,689,152,"2,326",171,"1,748",68
2020,송파구,마천2동,"5,354",938,184,614,140,"1,321",404,"2,595",96
2020,송파구,방이1동,"4,921",127,X,70,57,"2,146",310,"2,250",88
2020,송파구,방이2동,"8,214",342,7,233,102,"1,212",621,"5,948",91
2020,송파구,오륜동,"5,543",X,X,X,X,"5,540",X,X,X
2020,송파구,오금동,"12,963",367,X,228,136,"7,216",560,"4,674",146
2020,송파구,송파1동,"9,335",405,X,280,123,"1,267",393,"7,168",102
2020,송파구,송파2동,"6,583",120,X,87,33,"4,575",155,"1,705",28
2020,송파구,석촌동,"12,091",510,7,360,143,"1,066",423,"9,931",161
2020,송파구,삼전동,"11,497",477,X,364,113,479,284,"10,168",89
2020,송파구,가락본동,"8,410",332,X,171,158,"4,975",231,"2,742",130
2020,송파구,가락1동,"9,716",X,X,X,X,"9,716",X,X,X
2020,송파구,가락2동,"10,424",273,X,156,116,"6,417",188,"3,452",94
2020,송파구,문정1동,"6,783",223,X,122,101,"3,181",187,"3,102",90
2020,송파구,문정2동,"5,607",X,X,X,X,"5,606",X,X,X
2020,송파구,잠실본동,"9,583",593,5,449,139,"1,145",124,"7,576",145
2020,송파구,잠실4동,"6,866",X,X,X,X,"6,864",X,X,X
2020,송파구,잠실6동,"5,372",X,X,X,X,"5,372",X,X,X
2020,송파구,잠실7동,"3,198",X,X,X,X,"3,198",X,X,X
2020,송파구,잠실2동,"11,241",X,X,X,X,"11,241",X,X,X
2020,송파구,잠실3동,"11,046",X,X,X,X,"11,046",X,X,X
2020,송파구,장지동,"11,732",269,X,177,89,"8,253",194,"2,945",71
2020,송파구,위례동,"9,962",X,X,X,X,"9,962",X,X,X
2020,강동구,소계,"137,876","9,956",509,"7,269","2,178","87,159","3,114","36,562","1,085"
2020,강동구,강일동,"11,745",31,18,7,6,"11,638",X,76,X
2020,강동구,상일동,"10,472",242,5,119,118,"8,953",582,658,37
2020,강동구,명일1동,"8,248",253,6,166,81,"6,765",119,"1,050",61
2020,강동구,명일2동,"4,629",152,X,84,66,"4,196",X,255,26
2020,강동구,고덕1동,"7,536",324,22,237,65,"6,854",X,315,43
2020,강동구,고덕2동,"6,605",555,14,441,100,"5,589",X,426,35
2020,강동구,암사2동,"5,214",177,22,111,44,"4,139",16,855,27
2020,강동구,암사3동,"5,583",209,85,104,20,"4,808",38,512,16
2020,강동구,천호1동,"8,035","1,009",22,808,179,"2,612",388,"3,958",68
2020,강동구,천호3동,"7,964",995,85,785,125,"4,651",204,"2,084",30
2020,강동구,성내1동,"6,767",187,X,113,70,"3,288",317,"2,863",112
2020,강동구,성내2동,"6,199","1,244",44,902,298,"1,775",124,"2,950",106
2020,강동구,성내3동,"6,685",573,7,400,166,"2,730",148,"3,151",83
2020,강동구,둔촌1동,5,5,X,X,X,X,X,X,X
2020,강동구,둔촌2동,"7,962",543,31,377,135,"5,011",154,"2,187",67
2020,강동구,암사1동,"10,089","1,139",20,889,230,"2,790",247,"5,829",84
2020,강동구,천호2동,"9,362","1,488",103,"1,134",251,"2,641",189,"4,901",143
2020,강동구,길동,"14,776",830,16,590,224,"8,719",588,"4,492",147
