,,동,1인가구,etc,합계,1인가구비율
280,은평구,역촌동,5473,13295,18768,0.291613385
281,마포구,연남동,4142,3806,7948,0.521137393
282,서대문구,연희동,9005,9388,18393,0.48958843
283,마포구,염리동,1775,3194,4969,0.357214731
284,강서구,염창동,2993,11692,14685,0.203813415
285,영등포구,영등포동,10170,5369,15539,0.65448227
286,영등포구,영등포본동,3226,5716,8942,0.360769403
287,송파구,오금동,3077,11267,14344,0.21451478
288,구로구,오류1동,4624,5923,10547,0.438418508
289,구로구,오류2동,3258,11102,14360,0.226880223
290,송파구,오륜동,361,5137,5498,0.06566024
291,성동구,옥수동,2391,7683,10074,0.237343657
292,성동구,왕십리2동,2275,4650,6925,0.328519856
293,성동구,왕십리도선동,3632,7367,10999,0.330211837
294,마포구,용강동,2388,5981,8369,0.28533875
295,성동구,용답동,3111,2765,5876,0.529441797
296,용산구,용문동,1576,3357,4933,0.319481046
297,용산구,용산2가동,1911,2587,4498,0.424855491
298,동대문구,용신동,8464,7238,15702,0.539039613
299,강북구,우이동,2436,5850,8286,0.293989862
300,강서구,우장산동,2826,12117,14943,0.189118651
301,용산구,원효로1동,2735,4180,6915,0.395516992
302,용산구,원효로2동,1601,3842,5443,0.294139261
303,노원구,월계1동,3440,6136,9576,0.359231412
304,노원구,월계2동,3531,7854,11385,0.310144928
305,노원구,월계3동,3359,8906,12265,0.273868732
306,성북구,월곡1동,2454,7535,9989,0.245670237
307,성북구,월곡2동,3767,5195,8962,0.420330283
308,송파구,위례동,1037,8004,9041,0.114699701
309,관악구,은천동,5723,9114,14837,0.385724877
310,중구,을지로동,781,330,1111,0.702970297
311,성동구,응봉동,1053,4444,5497,0.191559032
312,은평구,응암1동,3771,7374,11145,0.338358008
313,은평구,응암2동,2171,7950,10121,0.214504496
314,은평구,응암3동,4431,6858,11289,0.392505979
315,동대문구,이문1동,5774,4160,9934,0.581236159
316,동대문구,이문2동,2503,5670,8173,0.306252294
