,자치구,동,계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택,cluster_h_r
96,동대문구,장안2동,849,72,574,203,6061,637,2148,157,1
97,동대문구,이문1동,1501,382,951,168,2232,281,837,97,0
98,동대문구,이문2동,954,383,510,61,4862,20,395,49,0
99,동대문구,답십리1동,944,188,613,143,7743,32,474,68,0
101,중랑구,면목2동,1528,98,1133,297,2444,210,2125,182,2
102,중랑구,면목4동,1034,80,793,161,2867,157,1288,62,1
103,중랑구,면목5동,621,68,445,108,2174,264,1300,50,1
104,중랑구,면목7동,1264,219,858,187,3151,232,1454,103,0
105,중랑구,상봉1동,622,91,413,118,5365,258,1639,53,1
106,중랑구,상봉2동,906,76,633,197,2043,173,2891,133,1
107,중랑구,중화1동,738,58,536,144,2120,639,2137,57,1
108,중랑구,중화2동,2199,163,1704,332,868,561,2790,135,1
109,중랑구,묵1동,788,56,573,159,6568,360,3004,85,0
110,중랑구,묵2동,996,78,705,213,1652,154,2375,132,1
111,중랑구,망우3동,1348,112,1023,213,61,111,2018,66,1
112,중랑구,신내1동,436,73,262,101,11411,297,747,68,1
113,중랑구,신내2동,9,7,0,0,8425,0,0,6,1
114,중랑구,면목본동,2427,263,1794,370,962,220,4856,117,1
115,중랑구,면목3.8동,1822,170,1295,357,1942,429,2055,127,1
116,중랑구,망우본동,1822,175,1297,350,3446,401,1624,160,1
118,성북구,돈암1동,164,96,50,18,5341,80,184,9,0
119,성북구,돈암2동,47,32,13,0,7791,20,379,0,0
120,성북구,안암동,1179,301,665,213,1209,214,1282,138,1
121,성북구,보문동,988,309,502,177,2491,42,965,94,0
122,성북구,정릉1동,577,188,280,109,4535,72,628,44,0
123,성북구,정릉2동,923,548,290,85,3105,739,3401,43,0
124,성북구,정릉3동,1537,1103,299,135,756,1148,1860,58,1
125,성북구,정릉4동,590,296,200,94,5173,876,2303,51,0
126,성북구,길음1동,97,35,47,15,11470,37,234,21,0
127,성북구,길음2동,519,263,174,82,5152,32,113,39,0
128,성북구,월곡1동,1021,310,543,168,6228,93,882,43,1
129,성북구,월곡2동,1213,355,669,189,3384,172,815,88,2
130,성북구,장위1동,1482,511,824,147,90,462,4010,90,0
131,성북구,장위2동,1751,501,1049,201,347,196,1731,95,2
132,성북구,장위3동,909,466,384,59,4619,199,327,24,0
133,성북구,성북동,2391,1765,448,178,630,769,1729,86,1
134,성북구,삼선동,2002,846,857,299,2897,284,1676,128,2
135,성북구,동선동,1129,375,519,235,1086,400,1548,135,1
136,성북구,종암동,1419,466,751,202,8072,328,2296,120,1
137,성북구,석관동,2582,856,1333,393,4830,99,2850,111,1
139,강북구,번1동,1672,261,1183,228,880,86,1803,88,0
140,강북구,번2동,290,86,156,48,2625,224,3558,26,2
141,강북구,번3동,35,5,12,18,6861,66,271,24,1
142,강북구,수유1동,1541,579,736,226,622,494,4051,73,1
143,강북구,수유2동,868,154,532,182,2640,204,3412,119,1
144,강북구,수유3동,1793,230,1237,326,301,247,3485,136,2
145,강북구,삼양동,1885,870,839,176,2647,612,2606,58,2
146,강북구,미아동,1470,211,1017,242,1100,444,3450,91,0
147,강북구,송중동,1991,505,1214,272,2985,475,3261,91,2
148,강북구,송천동,3011,909,1734,368,1255,208,2568,123,0
149,강북구,삼각산동,50,13,21,16,11291,0,24,11,0
150,강북구,우이동,1134,425,573,136,856,640,4415,77,0
151,강북구,인수동,1817,566,968,283,670,1089,6427,125,2
153,도봉구,쌍문1동,948,338,499,111,1971,753,3811,47,2
154,도봉구,쌍문2동,645,125,418,102,2973,270,2533,52,2
155,도봉구,쌍문3동,814,120,555,139,1930,171,2055,52,0
156,도봉구,쌍문4동,91,38,39,14,6120,88,525,11,2
157,도봉구,방학1동,1070,55,781,234,4495,352,2314,100,2
158,도봉구,방학2동,1072,70,782,220,234,845,3907,91,2
159,도봉구,방학3동,65,38,11,16,9237,45,337,14,2
160,도봉구,창1동,399,37,272,90,7314,293,976,42,0
161,도봉구,창2동,665,52,443,170,2942,343,4788,60,0
162,도봉구,창3동,1083,161,692,230,1163,120,1571,40,2
163,도봉구,창4동,0,0,0,0,10045,48,38,0,2
164,도봉구,창5동,146,15,101,30,6948,112,1428,47,1
165,도봉구,도봉1동,1140,247,693,200,1107,659,3922,136,2
166,도봉구,도봉2동,495,116,300,79,8553,45,415,34,0
168,노원구,월계1동,638,151,392,95,4503,239,2124,64,1
169,노원구,월계2동,131,19,85,27,10866,173,294,13,2
170,노원구,월계3동,45,14,25,6,12617,0,16,10,1
171,노원구,공릉2동,538,47,378,113,10880,325,1122,58,1
172,노원구,하계1동,152,32,67,53,9283,440,560,31,1
173,노원구,하계2동,0,0,0,0,8160,0,0,0,0
174,노원구,중계본동,767,690,45,32,6158,192,933,38,0
175,노원구,중계1동,0,0,0,0,8733,0,0,6,1
176,노원구,중계4동,95,29,44,22,7317,25,230,39,1
177,노원구,상계1동,326,38,183,105,10902,418,1686,78,2
178,노원구,상계2동,674,44,452,178,3908,200,1181,79,0
179,노원구,상계5동,1044,114,736,194,4133,202,1873,95,2
180,노원구,상계8동,0,0,0,0,9090,0,0,0,2
181,노원구,상계9동,0,0,0,0,8258,0,0,0,0
182,노원구,상계10동,0,0,0,0,6422,0,0,0,1
183,노원구,상계3.4동,1410,925,411,74,5308,871,1647,56,0
184,노원구,상계6.7동,0,0,0,0,13647,0,0,0,0
185,노원구,중계2.3동,0,0,0,0,14245,56,0,0,0
186,노원구,공릉1동,794,27,512,255,9072,307,3282,127,0
188,은평구,녹번동,1058,199,681,178,5206,540,5653,89,0
189,은평구,불광1동,1113,373,573,167,7280,489,4643,76,1
190,은평구,갈현1동,1482,659,635,188,928,493,4315,112,0
191,은평구,갈현2동,930,260,468,202,1406,413,6533,118,1
192,은평구,구산동,738,228,351,159,2645,571,6531,58,1
193,은평구,대조동,1190,246,698,246,2061,159,5134,118,0
194,은평구,응암1동,607,110,362,135,2762,198,3697,77,2
195,은평구,응암2동,466,112,282,72,7485,57,1224,31,1
196,은평구,신사1동,589,155,267,167,2999,476,5291,62,0
197,은평구,신사2동,1056,347,571,138,2394,383,2690,57,1
198,은평구,증산동,771,236,436,99,1857,600,1598,38,0
199,은평구,수색동,280,138,102,40,2192,150,467,25,0
200,은평구,진관동,257,205,32,20,16634,220,20,15,1
201,은평구,불광2동,1618,480,958,180,882,483,5920,67,1
202,은평구,응암3동,1294,176,873,245,925,105,4551,124,2
203,은평구,역촌동,1488,299,822,367,1782,493,10943,176,0
205,서대문구,천연동,522,120,328,74,5109,112,306,32,1
206,서대문구,홍제1동,619,115,399,105,4961,553,1824,65,1
207,서대문구,홍제3동,881,238,513,130,2469,195,1364,60,0
208,서대문구,홍제2동,257,41,180,36,4109,58,545,24,0
209,서대문구,홍은1동,1132,434,578,120,5041,274,808,53,0
210,서대문구,홍은2동,959,154,689,116,2514,895,4840,59,0
211,서대문구,남가좌1동,43,0,23,19,5250,186,104,26,1
212,서대문구,남가좌2동,995,87,705,203,5759,124,2023,78,0
213,서대문구,북가좌1동,286,24,231,31,4770,192,821,20,1
214,서대문구,북가좌2동,1197,101,904,192,2016,737,6556,97,1
215,서대문구,충현동,1350,541,684,125,3197,544,1428,54,2
216,서대문구,북아현동,702,188,433,81,4099,95,360,42,0
217,서대문구,신촌동,1114,182,704,228,1565,249,2476,166,1
218,서대문구,연희동,2543,500,1757,286,3273,1247,4455,157,1
220,마포구,용강동,218,60,98,60,6067,72,899,53,2
221,마포구,대흥동,1066,320,602,144,1591,6,601,71,0
222,마포구,염리동,564,186,281,97,1931,24,626,41,2
223,마포구,신수동,651,119,381,151,5227,171,1387,72,1
224,마포구,서교동,1361,275,710,376,2420,355,4613,440,1
225,마포구,합정동,666,108,430,128,1070,282,4164,137,0
226,마포구,망원1동,920,158,556,206,1492,434,4082,119,1
227,마포구,망원2동,421,32,248,141,2629,262,3054,101,0
228,마포구,연남동,1174,297,658,219,881,250,3210,133,0
229,마포구,성산1동,761,152,448,161,654,474,4681,92,0
230,마포구,성산2동,462,79,315,68,9927,340,2318,45,1
231,마포구,상암동,347,91,136,120,8966,40,570,33,0
232,마포구,도화동,510,141,271,98,6067,38,520,35,1
233,마포구,서강동,610,124,364,122,5609,178,1973,84,1
234,마포구,공덕동,1657,621,778,258,7071,203,2839,108,0
235,마포구,아현동,230,92,56,82,8705,13,106,37,0
237,양천구,목1동,132,17,72,43,7368,42,197,29,0
238,양천구,목2동,586,57,402,127,2889,512,6498,67,1
239,양천구,목3동,555,59,360,136,2243,124,4188,54,0
240,양천구,목4동,637,34,438,165,2833,282,3680,71,0
241,양천구,신월1동,1106,81,810,215,1330,445,3320,113,1
242,양천구,신월2동,273,9,186,78,3882,808,2368,43,0
243,양천구,신월3동,1147,133,854,160,1167,156,1854,47,0
244,양천구,신월4동,177,8,98,71,3416,377,2150,25,0
245,양천구,신월5동,470,31,324,115,1457,388,2355,45,0
246,양천구,신월6동,54,0,21,32,4413,49,569,14,0
247,양천구,신월7동,66,0,15,48,3291,187,4937,66,0
248,양천구,신정1동,287,14,161,112,5440,0,268,46,1
249,양천구,신정2동,312,30,187,95,5244,78,419,66,1
250,양천구,신정3동,549,78,422,49,13635,73,1158,25,0
251,양천구,신정6동,0,0,0,0,7214,0,0,0,0
252,양천구,신정7동,58,13,32,13,10653,0,125,25,0
253,양천구,목5동,0,0,0,0,12390,0,0,0,0
254,양천구,신정4동,1289,49,937,303,1923,521,6296,122,0
256,강서구,염창동,86,9,43,34,11882,216,1015,49,0
257,강서구,등촌1동,183,16,109,58,4633,143,1382,43,2
258,강서구,등촌2동,491,60,352,79,2717,472,3291,38,2
259,강서구,등촌3동,10,0,0,6,13287,0,211,14,1
260,강서구,화곡본동,730,120,456,154,1064,630,10103,78,2
261,강서구,화곡2동,661,54,488,119,338,96,4930,68,0
262,강서구,화곡3동,478,24,370,84,3463,108,2580,36,0
263,강서구,화곡4동,831,60,587,184,694,179,5270,79,0
264,강서구,화곡6동,560,44,391,125,3117,692,3641,75,0
265,강서구,화곡8동,652,71,448,133,734,329,7273,47,1
266,강서구,가양1동,84,14,42,28,6733,359,713,32,0
267,강서구,가양2동,0,0,0,0,7082,0,0,0,1
268,강서구,가양3동,0,0,0,0,7454,0,0,0,1
269,강서구,발산1동,242,8,184,50,9143,470,2389,40,1
270,강서구,공항동,1329,152,822,355,3044,133,3319,63,1
271,강서구,방화1동,916,112,628,176,10024,144,2499,90,2
272,강서구,방화2동,1218,338,737,143,3922,196,2086,110,0
273,강서구,방화3동,117,0,94,20,8921,90,556,14,0
274,강서구,화곡1동,1240,118,831,291,5986,213,11128,187,1
275,강서구,우장산동,431,27,296,108,9529,324,3040,71,0
277,구로구,신도림동,278,83,121,74,10552,106,137,51,0
278,구로구,구로1동,0,0,0,0,6700,0,112,7,2
279,구로구,구로3동,175,48,69,58,5481,126,1550,29,2
280,구로구,구로4동,717,81,490,146,6027,123,1536,80,0
281,구로구,구로5동,1018,71,790,157,6811,141,676,94,0
282,구로구,고척1동,530,139,334,57,5556,111,1159,49,2
283,구로구,고척2동,1212,112,923,177,4499,332,2029,70,1
284,구로구,개봉2동,432,28,306,98,6526,89,3961,37,1
285,구로구,개봉3동,587,67,394,126,2267,108,4234,70,1
286,구로구,오류1동,676,149,456,71,4262,255,1699,35,0
287,구로구,수궁동,334,104,182,48,1510,3213,3738,45,1
288,구로구,가리봉동,997,75,787,135,114,104,1290,46,1
289,구로구,구로2동,2672,392,1998,282,1962,121,2307,121,0
290,구로구,개봉1동,1285,79,996,210,6071,342,3209,60,0
291,구로구,오류2동,529,130,311,88,9695,1694,2023,44,1
292,구로구,항동,31,5,6,20,5426,523,192,0,1
294,금천구,가산동,625,41,461,123,3027,193,2280,75,0
295,금천구,독산1동,483,14,372,97,10364,48,2063,80,0
296,금천구,독산2동,1355,35,1178,142,235,241,3048,52,1
297,금천구,독산3동,1322,27,1089,206,1560,305,3705,75,1
298,금천구,독산4동,1031,16,906,109,449,163,2263,40,0
299,금천구,시흥1동,1500,74,1185,241,4903,309,3379,90,2
300,금천구,시흥2동,115,34,64,17,7535,16,301,14,2
301,금천구,시흥3동,162,23,108,31,425,1984,1487,19,0
302,금천구,시흥4동,926,37,796,93,1610,453,2960,27,0
303,금천구,시흥5동,1288,56,1114,118,1581,202,2373,63,1
305,영등포구,여의동,0,0,0,0,10200,0,0,0,0
306,영등포구,당산1동,799,151,386,262,4083,0,762,125,1
307,영등포구,당산2동,330,50,187,93,8920,23,1219,71,1
308,영등포구,양평1동,659,347,165,147,3011,45,445,69,1
309,영등포구,양평2동,271,57,133,81,4652,155,1959,78,0
310,영등포구,신길1동,1518,203,1132,183,1327,137,1246,52,1
311,영등포구,신길3동,1136,140,835,161,3172,0,391,40,1
312,영등포구,신길4동,624,59,489,76,2690,0,390,21,1
313,영등포구,신길5동,798,86,653,59,610,146,718,29,1
314,영등포구,신길6동,786,74,582,130,3414,174,604,65,1
315,영등포구,신길7동,238,26,171,41,6182,37,206,27,0
316,영등포구,대림1동,1094,75,890,129,2142,143,607,66,0
317,영등포구,대림2동,1470,52,1235,183,1529,246,910,86,0
318,영등포구,대림3동,1136,39,836,261,4190,40,1881,128,2
319,영등포구,영등포본동,1278,263,842,173,3543,69,1463,51,2
320,영등포구,영등포동,625,194,237,194,5078,109,1626,148,2
321,영등포구,도림동,1270,134,991,145,1562,126,992,55,0
322,영등포구,문래동,243,156,19,68,8652,36,55,60,0
324,동작구,노량진2동,1537,361,1042,134,104,214,811,86,0
