,상호명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
31137,델리로티,음식,커피점/카페,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로 137-1,126.970058838289,37.5318192748176
31160,덕안상회,음식,양식,서울특별시,용산구,남영동,남영동,서울특별시 용산구 한강대로76길 11-18,126.973740023223,37.5422583983384
31277,리셰프캐이터링,음식,음식배달서비스,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 소월로38길 30,126.990065058327,37.5433812923015
31284,팔레트-비,음식,한식,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로87길 48,126.969254637946,37.5392819246778
31311,C4케익팩토리이태원점,음식,제과제빵떡케익,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 회나무로44길 56,126.99521765758,37.5388839754757
31326,깐부치킨,음식,닭/오리요리,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로 69,126.964875118101,37.5270344495344
31491,밀크+허니,음식,한식,서울특별시,용산구,한강로동,용산동5가,서울특별시 용산구 한강대로38길 35,126.970202647475,37.5287659821509
31804,바오27,음식,양식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로27가길 32,127.002549189741,37.5380991467302
31904,정통우거지탕,음식,한식,서울특별시,용산구,원효로1동,원효로2가,서울특별시 용산구 새창로42길 8,126.961581028463,37.5345112404037
32051,회사랑,음식,분식,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로77길 19,126.974876251724,37.520426902219
32419,교촌치킨후암점,음식,닭/오리요리,서울특별시,용산구,후암동,후암동,서울특별시 용산구 후암로 28-1,126.97797744521,37.5485033473199
32469,자매식당,음식,한식,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 보광로60길 6,126.994448042176,37.5338405709998
32610,엔제리너스,음식,커피점/카페,서울특별시,용산구,남영동,동자동,서울특별시 용산구 한강대로 405,126.971711545358,37.5548283309992
32633,미나미쓰시,음식,유흥주점,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로 319,126.982308339534,37.5179502193451
32709,이촌부대찌개스테이크,음식,한식,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로54길 13,126.967745695892,37.5206891726811
